[Report Generation Time (2018/09/21 07:18:58.837 )]
[GSM FHC]
 Start Time:09/21/18 07:18:43.386 
    Total: 7717 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        13,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
58604
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      3959,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.505376,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 2.250, 8.500, -8.500, PASS
150, 2.125, 8.500, -8.500, PASS
160, 2.125, 8.500, -8.500, PASS
170, 2.000, 8.500, -8.500, PASS
180, 2.000, 8.500, -8.500, PASS
190, 2.000, 8.500, -8.500, PASS
200, 1.875, 8.500, -8.500, PASS
210, 1.875, 8.500, -8.500, PASS
220, 1.875, 8.500, -8.500, PASS
230, 1.875, 8.500, -8.500, PASS
240, 2.000, 8.500, -8.500, PASS
251, 2.000, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 2.875, 8.500, -8.500, PASS
30, 3.125, 8.500, -8.500, PASS
45, 3.125, 8.500, -8.500, PASS
55, 3.250, 8.500, -8.500, PASS
65, 3.250, 8.500, -8.500, PASS
75, 3.250, 8.500, -8.500, PASS
90, 3.250, 8.500, -8.500, PASS
105, 3.125, 8.500, -8.500, PASS
975, 2.375, 8.500, -8.500, PASS
1000, 2.500, 8.500, -8.500, PASS
1010, 2.625, 8.500, -8.500, PASS
1023, 2.750, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, -0.750, 8.500, -9.500, PASS
570, -0.625, 8.500, -9.500, PASS
600, -0.625, 8.500, -9.500, PASS
630, -0.625, 8.500, -9.500, PASS
670, -0.625, 8.500, -9.500, PASS
700, -0.500, 8.500, -9.500, PASS
730, -0.375, 8.500, -9.500, PASS
760, -0.250, 8.500, -9.500, PASS
790, -0.125, 8.500, -9.500, PASS
820, 0.000, 8.500, -9.500, PASS
850, 0.125, 8.500, -9.500, PASS
885, 0.375, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, 2.625, 8.500, -9.500, PASS
550, 2.750, 8.500, -9.500, PASS
570, 3.000, 8.500, -9.500, PASS
600, 3.250, 8.500, -9.500, PASS
630, 3.625, 8.500, -9.500, PASS
660, 3.875, 8.500, -9.500, PASS
690, 4.125, 8.500, -9.500, PASS
720, 4.375, 8.500, -9.500, PASS
750, 4.625, 8.500, -9.500, PASS
770, 4.750, 8.500, -9.500, PASS
790, 5.000, 8.500, -9.500, PASS
810, 5.250, 8.500, -9.500, PASS
[GSM FHC UTS]
 Start Time:09/21/18 07:18:51.263 
[FHC TX Subband Calibration]
Band: (GSM850)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (GSM900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (DCS1800)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (PCS1900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
    Total: 7487 ms
[GSM APC Calibration]
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
1, 190, 5, 611, 32.50000, 1.00000
1, 190, 6, 467, 30.50000, 1.00000
1, 190, 7, 408, 29.10000, 1.00000
1, 190, 8, 340, 27.10000, 1.00000
1, 190, 9, 288, 25.10000, 1.00000
1, 190, 10, 246, 23.10000, 1.00000
1, 190, 11, 213, 21.10000, 1.00000
1, 190, 12, 187, 19.10000, 1.00000
1, 190, 13, 166, 17.10000, 1.00000
1, 190, 14, 150, 15.10000, 1.00000
1, 190, 15, 137, 13.10000, 1.00000
1, 190, 16, 127, 11.00000, 1.00000
1, 190, 17, 119, 9.00000, 1.00000
1, 190, 18, 113, 7.00000, 1.00000
1, 190, 19, 108, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
2, 65, 5, 636, 32.50000, 1.00000
2, 65, 6, 467, 30.50000, 1.00000
2, 65, 7, 405, 29.10000, 1.00000
2, 65, 8, 336, 27.10000, 1.00000
2, 65, 9, 283, 25.10000, 1.00000
2, 65, 10, 240, 23.10000, 1.00000
2, 65, 11, 207, 21.10000, 1.00000
2, 65, 12, 182, 19.10000, 1.00000
2, 65, 13, 161, 17.10000, 1.00000
2, 65, 14, 146, 15.10000, 1.00000
2, 65, 15, 133, 13.10000, 1.00000
2, 65, 16, 123, 11.00000, 1.00000
2, 65, 17, 116, 9.00000, 1.00000
2, 65, 18, 110, 7.00000, 1.00000
2, 65, 19, 104, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
3, 700, 0, 676, 29.50000, 1.00000
3, 700, 1, 473, 27.50000, 1.00000
3, 700, 2, 387, 26.00000, 1.00000
3, 700, 3, 325, 24.00000, 1.00000
3, 700, 4, 277, 22.00000, 1.00000
3, 700, 5, 238, 20.00000, 1.00000
3, 700, 6, 207, 18.00000, 1.00000
3, 700, 7, 183, 16.00000, 1.00000
3, 700, 8, 164, 14.00000, 1.00000
3, 700, 9, 149, 12.00000, 1.00000
3, 700, 10, 137, 10.00000, 1.00000
3, 700, 11, 128, 8.00000, 1.00000
3, 700, 12, 121, 6.20000, 1.00000
3, 700, 13, 114, 4.10000, 1.00000
3, 700, 14, 110, 2.50000, 1.00000
3, 700, 15, 106, 0.30000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
4, 660, 0, 600, 29.50000, 1.00000
4, 660, 1, 423, 27.40000, 1.00000
4, 660, 2, 364, 25.80000, 1.00000
4, 660, 3, 312, 24.00000, 1.00000
4, 660, 4, 265, 22.00000, 1.00000
4, 660, 5, 228, 20.00000, 1.00000
4, 660, 6, 200, 18.00000, 1.00000
4, 660, 7, 177, 16.00000, 1.00000
4, 660, 8, 159, 14.00000, 1.00000
4, 660, 9, 145, 12.00000, 1.00000
4, 660, 10, 134, 10.00000, 1.00000
4, 660, 11, 124, 7.90000, 1.00000
4, 660, 12, 118, 5.90000, 1.00000
4, 660, 13, 112, 3.90000, 1.00000
4, 660, 14, 109, 2.40000, 1.00000
4, 660, 15, 104, 0.20000, 1.00000
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM850, 5, 32.35602, 32.50000, 32.00000, 33.00000, PASS
GSM850, 6, 30.39014, 30.50000, 30.00000, 31.00000, PASS
GSM850, 7, 29.01774, 29.10000, 28.50000, 29.50000, PASS
GSM850, 8, 27.00175, 27.10000, 26.50000, 27.80000, PASS
GSM850, 9, 25.02222, 25.10000, 24.50000, 25.80000, PASS
GSM850, 10, 23.05054, 23.10000, 22.50000, 23.80000, PASS
GSM850, 11, 21.04386, 21.10000, 20.50000, 21.80000, PASS
GSM850, 12, 19.04484, 19.10000, 18.50000, 19.80000, PASS
GSM850, 13, 16.98960, 17.10000, 16.50000, 17.80000, PASS
