[Report Generation Time (2018/09/21 07:37:53.768 )]
[GSM FHC]
 Start Time:09/21/18 07:37:45.829 
    Total: 3279 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        12,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
62790
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      3933,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.505376,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 3.000, 8.500, -8.500, PASS
150, 3.000, 8.500, -8.500, PASS
160, 2.875, 8.500, -8.500, PASS
170, 2.750, 8.500, -8.500, PASS
180, 2.875, 8.500, -8.500, PASS
190, 2.750, 8.500, -8.500, PASS
200, 2.750, 8.500, -8.500, PASS
210, 2.625, 8.500, -8.500, PASS
220, 2.625, 8.500, -8.500, PASS
230, 2.625, 8.500, -8.500, PASS
240, 2.625, 8.500, -8.500, PASS
251, 2.625, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 3.500, 8.500, -8.500, PASS
30, 3.625, 8.500, -8.500, PASS
45, 3.750, 8.500, -8.500, PASS
55, 3.875, 8.500, -8.500, PASS
65, 3.875, 8.500, -8.500, PASS
75, 3.875, 8.500, -8.500, PASS
90, 3.875, 8.500, -8.500, PASS
105, 3.875, 8.500, -8.500, PASS
975, 3.000, 8.500, -8.500, PASS
1000, 3.125, 8.500, -8.500, PASS
1010, 3.250, 8.500, -8.500, PASS
1023, 3.375, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, -0.375, 8.500, -9.500, PASS
570, -0.250, 8.500, -9.500, PASS
600, -0.250, 8.500, -9.500, PASS
630, -0.250, 8.500, -9.500, PASS
670, -0.125, 8.500, -9.500, PASS
700, 0.000, 8.500, -9.500, PASS
730, 0.125, 8.500, -9.500, PASS
760, 0.250, 8.500, -9.500, PASS
790, 0.375, 8.500, -9.500, PASS
820, 0.625, 8.500, -9.500, PASS
850, 0.750, 8.500, -9.500, PASS
885, 1.125, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, 3.125, 8.500, -9.500, PASS
550, 3.375, 8.500, -9.500, PASS
570, 3.500, 8.500, -9.500, PASS
600, 3.875, 8.500, -9.500, PASS
630, 4.125, 8.500, -9.500, PASS
660, 4.500, 8.500, -9.500, PASS
690, 4.750, 8.500, -9.500, PASS
720, 5.000, 8.500, -9.500, PASS
750, 5.125, 8.500, -9.500, PASS
770, 5.250, 8.500, -9.500, PASS
790, 5.500, 8.500, -9.500, PASS
810, 5.750, 8.500, -9.500, PASS
[GSM FHC UTS]
 Start Time:09/21/18 07:37:49.155 
[FHC TX Subband Calibration]
Band: (GSM850)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (GSM900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (DCS1800)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (PCS1900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
    Total: 4373 ms
[GSM APC Calibration]
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
1, 190, 5, 585, 32.50000, 1.00000
1, 190, 6, 468, 30.50000, 1.00000
1, 190, 7, 409, 29.10000, 1.00000
1, 190, 8, 343, 27.10000, 1.00000
1, 190, 9, 292, 25.10000, 1.00000
1, 190, 10, 250, 23.10000, 1.00000
1, 190, 11, 217, 21.10000, 1.00000
1, 190, 12, 192, 19.10000, 1.00000
1, 190, 13, 172, 17.10000, 1.00000
1, 190, 14, 156, 15.10000, 1.00000
1, 190, 15, 143, 13.10000, 1.00000
1, 190, 16, 132, 11.00000, 1.00000
1, 190, 17, 125, 9.00000, 1.00000
1, 190, 18, 118, 7.00000, 1.00000
1, 190, 19, 112, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
2, 65, 5, 611, 32.50000, 1.00000
2, 65, 6, 469, 30.50000, 1.00000
2, 65, 7, 408, 29.10000, 1.00000
2, 65, 8, 340, 27.10000, 1.00000
2, 65, 9, 288, 25.10000, 1.00000
2, 65, 10, 246, 23.10000, 1.00000
2, 65, 11, 213, 21.10000, 1.00000
2, 65, 12, 188, 19.10000, 1.00000
2, 65, 13, 168, 17.10000, 1.00000
2, 65, 14, 152, 15.10000, 1.00000
2, 65, 15, 140, 13.10000, 1.00000
2, 65, 16, 129, 11.00000, 1.00000
2, 65, 17, 122, 9.00000, 1.00000
2, 65, 18, 115, 7.00000, 1.00000
2, 65, 19, 109, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
3, 700, 0, 618, 29.50000, 1.00000
3, 700, 1, 449, 27.50000, 1.00000
3, 700, 2, 389, 26.00000, 1.00000
3, 700, 3, 330, 24.00000, 1.00000
3, 700, 4, 282, 22.00000, 1.00000
3, 700, 5, 244, 20.00000, 1.00000
3, 700, 6, 214, 18.00000, 1.00000
3, 700, 7, 191, 16.00000, 1.00000
3, 700, 8, 172, 14.00000, 1.00000
3, 700, 9, 157, 12.00000, 1.00000
3, 700, 10, 145, 10.00000, 1.00000
3, 700, 11, 136, 8.00000, 1.00000
3, 700, 12, 129, 6.20000, 1.00000
3, 700, 13, 123, 4.10000, 1.00000
3, 700, 14, 119, 2.50000, 1.00000
3, 700, 15, 114, 0.30000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
4, 660, 0, 557, 29.50000, 1.00000
4, 660, 1, 427, 27.40000, 1.00000
4, 660, 2, 370, 25.80000, 1.00000
4, 660, 3, 319, 24.00000, 1.00000
4, 660, 4, 273, 22.00000, 1.00000
4, 660, 5, 236, 20.00000, 1.00000
4, 660, 6, 208, 18.00000, 1.00000
4, 660, 7, 186, 16.00000, 1.00000
4, 660, 8, 168, 14.00000, 1.00000
4, 660, 9, 154, 12.00000, 1.00000
4, 660, 10, 143, 10.00000, 1.00000
4, 660, 11, 134, 7.90000, 1.00000
4, 660, 12, 127, 5.90000, 1.00000
4, 660, 13, 121, 3.90000, 1.00000
4, 660, 14, 118, 2.40000, 1.00000
4, 660, 15, 112, 0.20000, 1.00000
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM850, 5, 32.53330, 32.50000, 32.00000, 33.00000, PASS
GSM850, 6, 30.53141, 30.50000, 30.00000, 31.00000, PASS
GSM850, 7, 29.12363, 29.10000, 28.50000, 29.50000, PASS
GSM850, 8, 27.12836, 27.10000, 26.50000, 27.80000, PASS
GSM850, 9, 25.15467, 25.10000, 24.50000, 25.80000, PASS
GSM850, 10, 23.14780, 23.10000, 22.50000, 23.80000, PASS
GSM850, 11, 21.10288, 21.10000, 20.50000, 21.80000, PASS
GSM850, 12, 19.14408, 19.10000, 18.50000, 19.80000, PASS
GSM850, 13, 17.17539, 17.10000, 16.50000, 17.80000, PASS
