[Report Generation Time (2018/09/21 07:25:27.618 )]
[GSM FHC]
 Start Time:09/21/18 07:25:19.898 
    Total: 3133 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        14,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
58604
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      3793,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.752809,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 2.500, 8.500, -8.500, PASS
150, 2.500, 8.500, -8.500, PASS
160, 2.375, 8.500, -8.500, PASS
170, 2.250, 8.500, -8.500, PASS
180, 2.375, 8.500, -8.500, PASS
190, 2.250, 8.500, -8.500, PASS
200, 2.250, 8.500, -8.500, PASS
210, 2.250, 8.500, -8.500, PASS
220, 2.125, 8.500, -8.500, PASS
230, 2.125, 8.500, -8.500, PASS
240, 2.125, 8.500, -8.500, PASS
251, 2.125, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 2.875, 8.500, -8.500, PASS
30, 3.000, 8.500, -8.500, PASS
45, 3.125, 8.500, -8.500, PASS
55, 3.250, 8.500, -8.500, PASS
65, 3.250, 8.500, -8.500, PASS
75, 3.250, 8.500, -8.500, PASS
90, 3.250, 8.500, -8.500, PASS
105, 3.250, 8.500, -8.500, PASS
975, 2.500, 8.500, -8.500, PASS
1000, 2.625, 8.500, -8.500, PASS
1010, 2.625, 8.500, -8.500, PASS
1023, 2.750, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, -0.750, 8.500, -9.500, PASS
570, -0.625, 8.500, -9.500, PASS
600, -0.500, 8.500, -9.500, PASS
630, -0.500, 8.500, -9.500, PASS
670, -0.375, 8.500, -9.500, PASS
700, -0.250, 8.500, -9.500, PASS
730, -0.125, 8.500, -9.500, PASS
760, 0.000, 8.500, -9.500, PASS
790, 0.000, 8.500, -9.500, PASS
820, 0.125, 8.500, -9.500, PASS
850, 0.375, 8.500, -9.500, PASS
885, 0.625, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, 3.000, 8.500, -9.500, PASS
550, 3.125, 8.500, -9.500, PASS
570, 3.250, 8.500, -9.500, PASS
600, 3.375, 8.500, -9.500, PASS
630, 3.750, 8.500, -9.500, PASS
660, 4.000, 8.500, -9.500, PASS
690, 4.375, 8.500, -9.500, PASS
720, 4.625, 8.500, -9.500, PASS
750, 4.875, 8.500, -9.500, PASS
770, 5.000, 8.500, -9.500, PASS
790, 5.125, 8.500, -9.500, PASS
810, 5.250, 8.500, -9.500, PASS
[GSM FHC UTS]
 Start Time:09/21/18 07:25:23.103 
[FHC TX Subband Calibration]
Band: (GSM850)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (GSM900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (DCS1800)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (PCS1900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
    Total: 4430 ms
[GSM APC Calibration]
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
1, 190, 5, 547, 32.50000, 1.00000
1, 190, 6, 445, 30.50000, 1.00000
1, 190, 7, 390, 29.10000, 1.00000
1, 190, 8, 326, 27.10000, 1.00000
1, 190, 9, 277, 25.10000, 1.00000
1, 190, 10, 236, 23.10000, 1.00000
1, 190, 11, 206, 21.10000, 1.00000
1, 190, 12, 181, 19.10000, 1.00000
1, 190, 13, 161, 17.10000, 1.00000
1, 190, 14, 146, 15.10000, 1.00000
1, 190, 15, 134, 13.10000, 1.00000
1, 190, 16, 124, 11.00000, 1.00000
1, 190, 17, 116, 9.00000, 1.00000
1, 190, 18, 111, 7.00000, 1.00000
1, 190, 19, 105, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
2, 65, 5, 573, 32.50000, 1.00000
2, 65, 6, 449, 30.50000, 1.00000
2, 65, 7, 393, 29.10000, 1.00000
2, 65, 8, 328, 27.10000, 1.00000
2, 65, 9, 277, 25.10000, 1.00000
2, 65, 10, 236, 23.10000, 1.00000
2, 65, 11, 204, 21.10000, 1.00000
2, 65, 12, 179, 19.10000, 1.00000
2, 65, 13, 160, 17.10000, 1.00000
2, 65, 14, 144, 15.10000, 1.00000
2, 65, 15, 132, 13.10000, 1.00000
2, 65, 16, 122, 11.00000, 1.00000
2, 65, 17, 116, 9.00000, 1.00000
2, 65, 18, 109, 7.00000, 1.00000
2, 65, 19, 103, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
3, 700, 0, 545, 29.50000, 1.00000
3, 700, 1, 418, 27.50000, 1.00000
3, 700, 2, 365, 26.00000, 1.00000
3, 700, 3, 308, 24.00000, 1.00000
3, 700, 4, 263, 22.00000, 1.00000
3, 700, 5, 227, 20.00000, 1.00000
3, 700, 6, 199, 18.00000, 1.00000
3, 700, 7, 177, 16.00000, 1.00000
3, 700, 8, 159, 14.00000, 1.00000
3, 700, 9, 145, 12.00000, 1.00000
3, 700, 10, 134, 10.00000, 1.00000
3, 700, 11, 126, 8.00000, 1.00000
3, 700, 12, 119, 6.20000, 1.00000
3, 700, 13, 113, 4.10000, 1.00000
3, 700, 14, 110, 2.50000, 1.00000
3, 700, 15, 104, 0.30000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
4, 660, 0, 517, 29.50000, 1.00000
4, 660, 1, 408, 27.40000, 1.00000
4, 660, 2, 354, 25.80000, 1.00000
4, 660, 3, 304, 24.00000, 1.00000
4, 660, 4, 260, 22.00000, 1.00000
4, 660, 5, 225, 20.00000, 1.00000
4, 660, 6, 197, 18.00000, 1.00000
4, 660, 7, 175, 16.00000, 1.00000
4, 660, 8, 158, 14.00000, 1.00000
4, 660, 9, 145, 12.00000, 1.00000
4, 660, 10, 134, 10.00000, 1.00000
4, 660, 11, 125, 7.90000, 1.00000
4, 660, 12, 118, 5.90000, 1.00000
4, 660, 13, 113, 3.90000, 1.00000
4, 660, 14, 110, 2.40000, 1.00000
4, 660, 15, 105, 0.20000, 1.00000
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM850, 5, 32.53531, 32.50000, 32.00000, 33.00000, PASS
GSM850, 6, 30.52360, 30.50000, 30.00000, 31.00000, PASS
GSM850, 7, 29.14231, 29.10000, 28.50000, 29.50000, PASS
GSM850, 8, 27.12833, 27.10000, 26.50000, 27.80000, PASS
GSM850, 9, 25.15073, 25.10000, 24.50000, 25.80000, PASS
GSM850, 10, 23.11179, 23.10000, 22.50000, 23.80000, PASS
GSM850, 11, 21.17795, 21.10000, 20.50000, 21.80000, PASS
GSM850, 12, 19.14603, 19.10000, 18.50000, 19.80000, PASS
GSM850, 13, 17.08500, 17.10000, 16.50000, 17.80000, PASS
