[Report Generation Time (2018/09/21 07:23:53.541 )]
[GSM FHC]
 Start Time:09/21/18 07:23:43.501 
    Total: 4654 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        14,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
58604
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      3770,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.752809,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 3.125, 8.500, -8.500, PASS
150, 3.125, 8.500, -8.500, PASS
160, 3.000, 8.500, -8.500, PASS
170, 2.875, 8.500, -8.500, PASS
180, 2.875, 8.500, -8.500, PASS
190, 2.750, 8.500, -8.500, PASS
200, 2.750, 8.500, -8.500, PASS
210, 2.625, 8.500, -8.500, PASS
220, 2.625, 8.500, -8.500, PASS
230, 2.500, 8.500, -8.500, PASS
240, 2.500, 8.500, -8.500, PASS
251, 2.500, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 3.250, 8.500, -8.500, PASS
30, 3.375, 8.500, -8.500, PASS
45, 3.500, 8.500, -8.500, PASS
55, 3.500, 8.500, -8.500, PASS
65, 3.625, 8.500, -8.500, PASS
75, 3.625, 8.500, -8.500, PASS
90, 3.625, 8.500, -8.500, PASS
105, 3.625, 8.500, -8.500, PASS
975, 2.750, 8.500, -8.500, PASS
1000, 2.875, 8.500, -8.500, PASS
1010, 3.000, 8.500, -8.500, PASS
1023, 3.125, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, -0.500, 8.500, -9.500, PASS
570, -0.500, 8.500, -9.500, PASS
600, -0.500, 8.500, -9.500, PASS
630, -0.500, 8.500, -9.500, PASS
670, -0.375, 8.500, -9.500, PASS
700, -0.250, 8.500, -9.500, PASS
730, -0.125, 8.500, -9.500, PASS
760, -0.125, 8.500, -9.500, PASS
790, 0.000, 8.500, -9.500, PASS
820, 0.125, 8.500, -9.500, PASS
850, 0.250, 8.500, -9.500, PASS
885, 0.625, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, 2.625, 8.500, -9.500, PASS
550, 2.875, 8.500, -9.500, PASS
570, 3.000, 8.500, -9.500, PASS
600, 3.250, 8.500, -9.500, PASS
630, 3.625, 8.500, -9.500, PASS
660, 3.875, 8.500, -9.500, PASS
690, 4.250, 8.500, -9.500, PASS
720, 4.375, 8.500, -9.500, PASS
750, 4.625, 8.500, -9.500, PASS
770, 4.750, 8.500, -9.500, PASS
790, 4.875, 8.500, -9.500, PASS
810, 5.125, 8.500, -9.500, PASS
[GSM FHC UTS]
 Start Time:09/21/18 07:23:48.229 
[FHC TX Subband Calibration]
Band: (GSM850)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (GSM900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (DCS1800)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (PCS1900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
    Total: 5062 ms
[GSM APC Calibration]
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
1, 190, 5, 589, 32.50000, 1.00000
1, 190, 6, 469, 30.50000, 1.00000
1, 190, 7, 409, 29.10000, 1.00000
1, 190, 8, 342, 27.10000, 1.00000
1, 190, 9, 290, 25.10000, 1.00000
1, 190, 10, 248, 23.10000, 1.00000
1, 190, 11, 215, 21.10000, 1.00000
1, 190, 12, 189, 19.10000, 1.00000
1, 190, 13, 168, 17.10000, 1.00000
1, 190, 14, 152, 15.10000, 1.00000
1, 190, 15, 139, 13.10000, 1.00000
1, 190, 16, 129, 11.00000, 1.00000
1, 190, 17, 121, 9.00000, 1.00000
1, 190, 18, 115, 7.00000, 1.00000
1, 190, 19, 109, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
2, 65, 5, 607, 32.50000, 1.00000
2, 65, 6, 465, 30.50000, 1.00000
2, 65, 7, 404, 29.10000, 1.00000
2, 65, 8, 337, 27.10000, 1.00000
2, 65, 9, 284, 25.10000, 1.00000
2, 65, 10, 242, 23.10000, 1.00000
2, 65, 11, 209, 21.10000, 1.00000
2, 65, 12, 184, 19.10000, 1.00000
2, 65, 13, 164, 17.10000, 1.00000
2, 65, 14, 148, 15.10000, 1.00000
2, 65, 15, 136, 13.10000, 1.00000
2, 65, 16, 126, 11.00000, 1.00000
2, 65, 17, 119, 9.00000, 1.00000
2, 65, 18, 113, 7.00000, 1.00000
2, 65, 19, 106, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
3, 700, 0, 627, 29.50000, 1.00000
3, 700, 1, 447, 27.50000, 1.00000
3, 700, 2, 383, 26.00000, 1.00000
3, 700, 3, 323, 24.00000, 1.00000
3, 700, 4, 276, 22.00000, 1.00000
3, 700, 5, 238, 20.00000, 1.00000
3, 700, 6, 208, 18.00000, 1.00000
3, 700, 7, 184, 16.00000, 1.00000
3, 700, 8, 166, 14.00000, 1.00000
3, 700, 9, 151, 12.00000, 1.00000
3, 700, 10, 139, 10.00000, 1.00000
3, 700, 11, 130, 8.00000, 1.00000
3, 700, 12, 123, 6.20000, 1.00000
3, 700, 13, 116, 4.10000, 1.00000
3, 700, 14, 112, 2.50000, 1.00000
3, 700, 15, 108, 0.30000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
4, 660, 0, 556, 29.50000, 1.00000
4, 660, 1, 419, 27.40000, 1.00000
4, 660, 2, 362, 25.80000, 1.00000
4, 660, 3, 311, 24.00000, 1.00000
4, 660, 4, 266, 22.00000, 1.00000
4, 660, 5, 229, 20.00000, 1.00000
4, 660, 6, 201, 18.00000, 1.00000
4, 660, 7, 179, 16.00000, 1.00000
4, 660, 8, 161, 14.00000, 1.00000
4, 660, 9, 147, 12.00000, 1.00000
4, 660, 10, 136, 10.00000, 1.00000
4, 660, 11, 127, 7.90000, 1.00000
4, 660, 12, 120, 5.90000, 1.00000
4, 660, 13, 114, 3.90000, 1.00000
4, 660, 14, 111, 2.40000, 1.00000
4, 660, 15, 107, 0.20000, 1.00000
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM850, 5, 32.51969, 32.50000, 32.00000, 33.00000, PASS
GSM850, 6, 30.52430, 30.50000, 30.00000, 31.00000, PASS
GSM850, 7, 29.11582, 29.10000, 28.50000, 29.50000, PASS
GSM850, 8, 27.12284, 27.10000, 26.50000, 27.80000, PASS
GSM850, 9, 25.14280, 25.10000, 24.50000, 25.80000, PASS
GSM850, 10, 23.16959, 23.10000, 22.50000, 23.80000, PASS
GSM850, 11, 21.16807, 21.10000, 20.50000, 21.80000, PASS
GSM850, 12, 19.15787, 19.10000, 18.50000, 19.80000, PASS
GSM850, 13, 17.09272, 17.10000, 16.50000, 17.80000, PASS
