[Report Generation Time (2018/09/21 07:21:04.076 )]
[GSM FHC]
 Start Time:09/21/18 07:20:49.440 
    Total: 5273 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        13,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
62790
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      3941,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.626374,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 2.875, 8.500, -8.500, PASS
150, 2.750, 8.500, -8.500, PASS
160, 2.750, 8.500, -8.500, PASS
170, 2.625, 8.500, -8.500, PASS
180, 2.625, 8.500, -8.500, PASS
190, 2.500, 8.500, -8.500, PASS
200, 2.375, 8.500, -8.500, PASS
210, 2.375, 8.500, -8.500, PASS
220, 2.250, 8.500, -8.500, PASS
230, 2.250, 8.500, -8.500, PASS
240, 2.250, 8.500, -8.500, PASS
251, 2.250, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 2.750, 8.500, -8.500, PASS
30, 2.875, 8.500, -8.500, PASS
45, 3.000, 8.500, -8.500, PASS
55, 3.125, 8.500, -8.500, PASS
65, 3.125, 8.500, -8.500, PASS
75, 3.125, 8.500, -8.500, PASS
90, 3.125, 8.500, -8.500, PASS
105, 3.125, 8.500, -8.500, PASS
975, 2.375, 8.500, -8.500, PASS
1000, 2.500, 8.500, -8.500, PASS
1010, 2.500, 8.500, -8.500, PASS
1023, 2.625, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, -0.875, 8.500, -9.500, PASS
570, -0.875, 8.500, -9.500, PASS
600, -0.875, 8.500, -9.500, PASS
630, -0.875, 8.500, -9.500, PASS
670, -0.750, 8.500, -9.500, PASS
700, -0.750, 8.500, -9.500, PASS
730, -0.625, 8.500, -9.500, PASS
760, -0.500, 8.500, -9.500, PASS
790, -0.375, 8.500, -9.500, PASS
820, -0.375, 8.500, -9.500, PASS
850, -0.125, 8.500, -9.500, PASS
885, 0.000, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, 2.000, 8.500, -9.500, PASS
550, 2.125, 8.500, -9.500, PASS
570, 2.250, 8.500, -9.500, PASS
600, 2.500, 8.500, -9.500, PASS
630, 2.875, 8.500, -9.500, PASS
660, 3.125, 8.500, -9.500, PASS
690, 3.500, 8.500, -9.500, PASS
720, 3.750, 8.500, -9.500, PASS
750, 4.000, 8.500, -9.500, PASS
770, 4.125, 8.500, -9.500, PASS
790, 4.250, 8.500, -9.500, PASS
810, 4.375, 8.500, -9.500, PASS
[GSM FHC UTS]
 Start Time:09/21/18 07:20:55.033 
[FHC TX Subband Calibration]
Band: (GSM850)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (GSM900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (DCS1800)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (PCS1900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
    Total: 8443 ms
[GSM APC Calibration]
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
1, 190, 5, 592, 32.50000, 1.00000
1, 190, 6, 475, 30.50000, 1.00000
1, 190, 7, 416, 29.10000, 1.00000
1, 190, 8, 348, 27.10000, 1.00000
1, 190, 9, 295, 25.10000, 1.00000
1, 190, 10, 253, 23.10000, 1.00000
1, 190, 11, 219, 21.10000, 1.00000
1, 190, 12, 193, 19.10000, 1.00000
1, 190, 13, 172, 17.10000, 1.00000
1, 190, 14, 156, 15.10000, 1.00000
1, 190, 15, 143, 13.10000, 1.00000
1, 190, 16, 133, 11.00000, 1.00000
1, 190, 17, 125, 9.00000, 1.00000
1, 190, 18, 119, 7.00000, 1.00000
1, 190, 19, 113, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
2, 65, 5, 606, 32.50000, 1.00000
2, 65, 6, 470, 30.50000, 1.00000
2, 65, 7, 410, 29.10000, 1.00000
2, 65, 8, 343, 27.10000, 1.00000
2, 65, 9, 289, 25.10000, 1.00000
2, 65, 10, 247, 23.10000, 1.00000
2, 65, 11, 214, 21.10000, 1.00000
2, 65, 12, 188, 19.10000, 1.00000
2, 65, 13, 168, 17.10000, 1.00000
2, 65, 14, 152, 15.10000, 1.00000
2, 65, 15, 140, 13.10000, 1.00000
2, 65, 16, 129, 11.00000, 1.00000
2, 65, 17, 122, 9.00000, 1.00000
2, 65, 18, 116, 7.00000, 1.00000
2, 65, 19, 110, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
3, 700, 0, 619, 29.50000, 1.00000
3, 700, 1, 447, 27.50000, 1.00000
3, 700, 2, 387, 26.00000, 1.00000
3, 700, 3, 326, 24.00000, 1.00000
3, 700, 4, 279, 22.00000, 1.00000
3, 700, 5, 240, 20.00000, 1.00000
3, 700, 6, 210, 18.00000, 1.00000
3, 700, 7, 186, 16.00000, 1.00000
3, 700, 8, 168, 14.00000, 1.00000
3, 700, 9, 153, 12.00000, 1.00000
3, 700, 10, 141, 10.00000, 1.00000
3, 700, 11, 132, 8.00000, 1.00000
3, 700, 12, 125, 6.20000, 1.00000
3, 700, 13, 119, 4.10000, 1.00000
3, 700, 14, 115, 2.50000, 1.00000
3, 700, 15, 110, 0.30000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
4, 660, 0, 554, 29.50000, 1.00000
4, 660, 1, 416, 27.40000, 1.00000
4, 660, 2, 359, 25.80000, 1.00000
4, 660, 3, 309, 24.00000, 1.00000
4, 660, 4, 264, 22.00000, 1.00000
4, 660, 5, 228, 20.00000, 1.00000
4, 660, 6, 200, 18.00000, 1.00000
4, 660, 7, 179, 16.00000, 1.00000
4, 660, 8, 161, 14.00000, 1.00000
4, 660, 9, 148, 12.00000, 1.00000
4, 660, 10, 137, 10.00000, 1.00000
4, 660, 11, 128, 7.90000, 1.00000
4, 660, 12, 121, 5.90000, 1.00000
4, 660, 13, 116, 3.90000, 1.00000
4, 660, 14, 113, 2.40000, 1.00000
4, 660, 15, 109, 0.20000, 1.00000
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM850, 5, 32.52210, 32.50000, 32.00000, 33.00000, PASS
GSM850, 6, 30.51566, 30.50000, 30.00000, 31.00000, PASS
GSM850, 7, 29.13090, 29.10000, 28.50000, 29.50000, PASS
GSM850, 8, 27.11942, 27.10000, 26.50000, 27.80000, PASS
GSM850, 9, 25.12604, 25.10000, 24.50000, 25.80000, PASS
GSM850, 10, 23.18180, 23.10000, 22.50000, 23.80000, PASS
GSM850, 11, 21.13669, 21.10000, 20.50000, 21.80000, PASS
GSM850, 12, 19.14112, 19.10000, 18.50000, 19.80000, PASS
GSM850, 13, 17.09620, 17.10000, 16.50000, 17.80000, PASS
