[Report Generation Time (2018/09/21 07:18:40.306 )]
[GSM FHC]
 Start Time:09/21/18 07:18:32.181 
    Total: 3409 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        12,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
58604
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      4005,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.626374,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 3.000, 8.500, -8.500, PASS
150, 2.875, 8.500, -8.500, PASS
160, 2.875, 8.500, -8.500, PASS
170, 2.750, 8.500, -8.500, PASS
180, 2.750, 8.500, -8.500, PASS
190, 2.625, 8.500, -8.500, PASS
200, 2.625, 8.500, -8.500, PASS
210, 2.500, 8.500, -8.500, PASS
220, 2.500, 8.500, -8.500, PASS
230, 2.500, 8.500, -8.500, PASS
240, 2.500, 8.500, -8.500, PASS
251, 2.500, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 3.500, 8.500, -8.500, PASS
30, 3.625, 8.500, -8.500, PASS
45, 3.625, 8.500, -8.500, PASS
55, 3.625, 8.500, -8.500, PASS
65, 3.750, 8.500, -8.500, PASS
75, 3.625, 8.500, -8.500, PASS
90, 3.625, 8.500, -8.500, PASS
105, 3.625, 8.500, -8.500, PASS
975, 2.625, 8.500, -8.500, PASS
1000, 2.750, 8.500, -8.500, PASS
1010, 3.125, 8.500, -8.500, PASS
1023, 3.375, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, -0.250, 8.500, -9.500, PASS
570, -0.250, 8.500, -9.500, PASS
600, 0.750, 8.500, -9.500, PASS
630, 0.625, 8.500, -9.500, PASS
670, 0.625, 8.500, -9.500, PASS
700, 0.750, 8.500, -9.500, PASS
730, 0.875, 8.500, -9.500, PASS
760, 1.000, 8.500, -9.500, PASS
790, 1.125, 8.500, -9.500, PASS
820, 1.250, 8.500, -9.500, PASS
850, 1.375, 8.500, -9.500, PASS
885, 1.500, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, 3.875, 8.500, -9.500, PASS
550, 3.125, 8.500, -9.500, PASS
570, 3.000, 8.500, -9.500, PASS
600, 4.625, 8.500, -9.500, PASS
630, 4.875, 8.500, -9.500, PASS
660, 5.125, 8.500, -9.500, PASS
690, 5.375, 8.500, -9.500, PASS
720, 5.625, 8.500, -9.500, PASS
750, 5.875, 8.500, -9.500, PASS
770, 6.125, 8.500, -9.500, PASS
790, 6.375, 8.500, -9.500, PASS
810, 6.625, 8.500, -9.500, PASS
 Start Time:09/21/18 07:18:35.651 
[GSM APC Calibration]
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
1, 190, 5, 654, 32.50000, 1.00000
1, 190, 6, 485, 30.50000, 1.00000
1, 190, 7, 424, 29.10000, 1.00000
1, 190, 8, 354, 27.10000, 1.00000
1, 190, 9, 300, 25.10000, 1.00000
1, 190, 10, 257, 23.10000, 1.00000
1, 190, 11, 222, 21.10000, 1.00000
1, 190, 12, 196, 19.10000, 1.00000
1, 190, 13, 175, 17.10000, 1.00000
1, 190, 14, 158, 15.10000, 1.00000
1, 190, 15, 144, 13.10000, 1.00000
1, 190, 16, 133, 11.00000, 1.00000
1, 190, 17, 125, 9.00000, 1.00000
1, 190, 18, 118, 7.00000, 1.00000
1, 190, 19, 113, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
2, 65, 5, 648, 32.50000, 1.00000
2, 65, 6, 478, 30.50000, 1.00000
2, 65, 7, 416, 29.10000, 1.00000
2, 65, 8, 347, 27.10000, 1.00000
2, 65, 9, 293, 25.10000, 1.00000
2, 65, 10, 249, 23.10000, 1.00000
2, 65, 11, 215, 21.10000, 1.00000
2, 65, 12, 189, 19.10000, 1.00000
2, 65, 13, 168, 17.10000, 1.00000
2, 65, 14, 152, 15.10000, 1.00000
2, 65, 15, 140, 13.10000, 1.00000
2, 65, 16, 129, 11.00000, 1.00000
2, 65, 17, 121, 9.00000, 1.00000
2, 65, 18, 116, 7.00000, 1.00000
2, 65, 19, 110, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
3, 700, 0, 681, 29.50000, 1.00000
3, 700, 1, 481, 27.50000, 1.00000
3, 700, 2, 396, 26.00000, 1.00000
3, 700, 3, 334, 24.00000, 1.00000
3, 700, 4, 286, 22.00000, 1.00000
3, 700, 5, 246, 20.00000, 1.00000
3, 700, 6, 215, 18.00000, 1.00000
3, 700, 7, 191, 16.00000, 1.00000
3, 700, 8, 172, 14.00000, 1.00000
3, 700, 9, 156, 12.00000, 1.00000
3, 700, 10, 144, 10.00000, 1.00000
3, 700, 11, 135, 8.00000, 1.00000
3, 700, 12, 128, 6.20000, 1.00000
3, 700, 13, 121, 4.10000, 1.00000
3, 700, 14, 117, 2.50000, 1.00000
3, 700, 15, 112, 0.30000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
4, 660, 0, 600, 29.50000, 1.00000
4, 660, 1, 423, 27.40000, 1.00000
4, 660, 2, 366, 25.80000, 1.00000
4, 660, 3, 314, 24.00000, 1.00000
4, 660, 4, 269, 22.00000, 1.00000
4, 660, 5, 232, 20.00000, 1.00000
4, 660, 6, 204, 18.00000, 1.00000
4, 660, 7, 182, 16.00000, 1.00000
4, 660, 8, 164, 14.00000, 1.00000
4, 660, 9, 150, 12.00000, 1.00000
4, 660, 10, 139, 10.00000, 1.00000
4, 660, 11, 130, 7.90000, 1.00000
4, 660, 12, 123, 5.90000, 1.00000
4, 660, 13, 118, 3.90000, 1.00000
