[Report Generation Time (2018/09/21 07:24:04.431 )]
[GSM FHC]
 Start Time:09/21/18 07:23:56.652 
    Total: 3160 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        12,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
62790
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      3853,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.626374,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 2.125, 8.500, -8.500, PASS
150, 2.000, 8.500, -8.500, PASS
160, 2.000, 8.500, -8.500, PASS
170, 1.875, 8.500, -8.500, PASS
180, 1.875, 8.500, -8.500, PASS
190, 1.750, 8.500, -8.500, PASS
200, 1.750, 8.500, -8.500, PASS
210, 1.625, 8.500, -8.500, PASS
220, 1.625, 8.500, -8.500, PASS
230, 1.625, 8.500, -8.500, PASS
240, 1.625, 8.500, -8.500, PASS
251, 1.625, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 2.500, 8.500, -8.500, PASS
30, 2.750, 8.500, -8.500, PASS
45, 2.875, 8.500, -8.500, PASS
55, 2.875, 8.500, -8.500, PASS
65, 2.875, 8.500, -8.500, PASS
75, 2.875, 8.500, -8.500, PASS
90, 2.875, 8.500, -8.500, PASS
105, 2.875, 8.500, -8.500, PASS
975, 2.000, 8.500, -8.500, PASS
1000, 2.125, 8.500, -8.500, PASS
1010, 2.250, 8.500, -8.500, PASS
1023, 2.375, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, -1.250, 8.500, -9.500, PASS
570, -1.250, 8.500, -9.500, PASS
600, -1.125, 8.500, -9.500, PASS
630, -1.125, 8.500, -9.500, PASS
670, -1.125, 8.500, -9.500, PASS
700, -1.000, 8.500, -9.500, PASS
730, -0.875, 8.500, -9.500, PASS
760, -0.875, 8.500, -9.500, PASS
790, -0.625, 8.500, -9.500, PASS
820, -0.500, 8.500, -9.500, PASS
850, -0.375, 8.500, -9.500, PASS
885, -0.125, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, 2.125, 8.500, -9.500, PASS
550, 2.250, 8.500, -9.500, PASS
570, 2.375, 8.500, -9.500, PASS
600, 2.750, 8.500, -9.500, PASS
630, 3.125, 8.500, -9.500, PASS
660, 3.500, 8.500, -9.500, PASS
690, 3.750, 8.500, -9.500, PASS
720, 4.000, 8.500, -9.500, PASS
750, 4.125, 8.500, -9.500, PASS
770, 4.250, 8.500, -9.500, PASS
790, 4.375, 8.500, -9.500, PASS
810, 4.625, 8.500, -9.500, PASS
 Start Time:09/21/18 07:23:59.982 
[GSM APC Calibration]
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
1, 190, 5, 574, 32.50000, 1.00000
1, 190, 6, 465, 30.50000, 1.00000
1, 190, 7, 407, 29.10000, 1.00000
1, 190, 8, 341, 27.10000, 1.00000
1, 190, 9, 290, 25.10000, 1.00000
1, 190, 10, 249, 23.10000, 1.00000
1, 190, 11, 216, 21.10000, 1.00000
1, 190, 12, 191, 19.10000, 1.00000
1, 190, 13, 171, 17.10000, 1.00000
1, 190, 14, 155, 15.10000, 1.00000
1, 190, 15, 142, 13.10000, 1.00000
1, 190, 16, 132, 11.00000, 1.00000
1, 190, 17, 125, 9.00000, 1.00000
1, 190, 18, 118, 7.00000, 1.00000
1, 190, 19, 113, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
2, 65, 5, 600, 32.50000, 1.00000
2, 65, 6, 468, 30.50000, 1.00000
2, 65, 7, 408, 29.10000, 1.00000
2, 65, 8, 341, 27.10000, 1.00000
2, 65, 9, 288, 25.10000, 1.00000
2, 65, 10, 246, 23.10000, 1.00000
2, 65, 11, 213, 21.10000, 1.00000
2, 65, 12, 188, 19.10000, 1.00000
2, 65, 13, 168, 17.10000, 1.00000
2, 65, 14, 152, 15.10000, 1.00000
2, 65, 15, 140, 13.10000, 1.00000
2, 65, 16, 130, 11.00000, 1.00000
2, 65, 17, 122, 9.00000, 1.00000
2, 65, 18, 116, 7.00000, 1.00000
2, 65, 19, 111, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
3, 700, 0, 633, 29.50000, 1.00000
3, 700, 1, 454, 27.50000, 1.00000
3, 700, 2, 391, 26.00000, 1.00000
3, 700, 3, 331, 24.00000, 1.00000
3, 700, 4, 283, 22.00000, 1.00000
3, 700, 5, 244, 20.00000, 1.00000
3, 700, 6, 214, 18.00000, 1.00000
3, 700, 7, 190, 16.00000, 1.00000
3, 700, 8, 171, 14.00000, 1.00000
3, 700, 9, 156, 12.00000, 1.00000
3, 700, 10, 144, 10.00000, 1.00000
3, 700, 11, 135, 8.00000, 1.00000
3, 700, 12, 128, 6.20000, 1.00000
3, 700, 13, 121, 4.10000, 1.00000
3, 700, 14, 117, 2.50000, 1.00000
3, 700, 15, 112, 0.30000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
4, 660, 0, 551, 29.50000, 1.00000
4, 660, 1, 428, 27.40000, 1.00000
4, 660, 2, 370, 25.80000, 1.00000
4, 660, 3, 318, 24.00000, 1.00000
4, 660, 4, 273, 22.00000, 1.00000
4, 660, 5, 235, 20.00000, 1.00000
4, 660, 6, 207, 18.00000, 1.00000
4, 660, 7, 184, 16.00000, 1.00000
4, 660, 8, 167, 14.00000, 1.00000
4, 660, 9, 152, 12.00000, 1.00000
4, 660, 10, 141, 10.00000, 1.00000
4, 660, 11, 132, 7.90000, 1.00000
