[Report Generation Time (2018/09/17 16:45:02.739 )]
[GSM FHC]
 Start Time:09/17/18 16:44:54.269 
    Total: 3489 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        12,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
66976
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      3741,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.752809,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 3.375, 8.500, -8.500, PASS
150, 3.250, 8.500, -8.500, PASS
160, 3.250, 8.500, -8.500, PASS
170, 3.000, 8.500, -8.500, PASS
180, 3.000, 8.500, -8.500, PASS
190, 2.875, 8.500, -8.500, PASS
200, 2.875, 8.500, -8.500, PASS
210, 2.875, 8.500, -8.500, PASS
220, 2.875, 8.500, -8.500, PASS
230, 2.875, 8.500, -8.500, PASS
240, 2.875, 8.500, -8.500, PASS
251, 3.000, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 3.000, 8.500, -8.500, PASS
30, 3.000, 8.500, -8.500, PASS
45, 3.125, 8.500, -8.500, PASS
55, 3.125, 8.500, -8.500, PASS
65, 3.125, 8.500, -8.500, PASS
75, 3.000, 8.500, -8.500, PASS
90, 3.000, 8.500, -8.500, PASS
105, 2.875, 8.500, -8.500, PASS
975, 2.750, 8.500, -8.500, PASS
1000, 2.750, 8.500, -8.500, PASS
1010, 2.750, 8.500, -8.500, PASS
1023, 2.875, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, -0.250, 8.500, -9.500, PASS
570, -0.250, 8.500, -9.500, PASS
600, -0.125, 8.500, -9.500, PASS
630, -0.125, 8.500, -9.500, PASS
670, -0.250, 8.500, -9.500, PASS
700, -0.250, 8.500, -9.500, PASS
730, -0.125, 8.500, -9.500, PASS
760, 0.000, 8.500, -9.500, PASS
790, 0.000, 8.500, -9.500, PASS
820, 0.000, 8.500, -9.500, PASS
850, 0.000, 8.500, -9.500, PASS
885, -0.125, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, 0.250, 8.500, -9.500, PASS
550, 0.375, 8.500, -9.500, PASS
570, 0.375, 8.500, -9.500, PASS
600, 0.500, 8.500, -9.500, PASS
630, 0.500, 8.500, -9.500, PASS
660, 0.625, 8.500, -9.500, PASS
690, 0.875, 8.500, -9.500, PASS
720, 1.125, 8.500, -9.500, PASS
750, 1.250, 8.500, -9.500, PASS
770, 1.375, 8.500, -9.500, PASS
790, 1.500, 8.500, -9.500, PASS
810, 1.625, 8.500, -9.500, PASS
 Start Time:09/17/18 16:44:57.867 
[GSM APC Calibration]
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
1, 190, 5, 518, 32.50000, 1.00000
1, 190, 6, 405, 30.50000, 1.00000
1, 190, 7, 357, 29.10000, 1.00000
1, 190, 8, 309, 27.10000, 1.00000
1, 190, 9, 274, 25.10000, 1.00000
1, 190, 10, 246, 23.10000, 1.00000
1, 190, 11, 225, 21.10000, 1.00000
1, 190, 12, 208, 19.10000, 1.00000
1, 190, 13, 194, 17.10000, 1.00000
1, 190, 14, 183, 15.10000, 1.00000
1, 190, 15, 173, 13.10000, 1.00000
1, 190, 16, 164, 11.00000, 1.00000
1, 190, 17, 157, 9.00000, 1.00000
1, 190, 18, 150, 7.00000, 1.00000
1, 190, 19, 145, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
2, 65, 5, 520, 32.50000, 1.00000
2, 65, 6, 413, 30.50000, 1.00000
2, 65, 7, 366, 29.10000, 1.00000
2, 65, 8, 318, 27.10000, 1.00000
2, 65, 9, 282, 25.10000, 1.00000
2, 65, 10, 255, 23.10000, 1.00000
2, 65, 11, 233, 21.10000, 1.00000
2, 65, 12, 216, 19.10000, 1.00000
2, 65, 13, 202, 17.10000, 1.00000
2, 65, 14, 190, 15.10000, 1.00000
2, 65, 15, 180, 13.10000, 1.00000
2, 65, 16, 170, 11.00000, 1.00000
2, 65, 17, 162, 9.00000, 1.00000
2, 65, 18, 155, 7.00000, 1.00000
2, 65, 19, 149, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
3, 700, 0, 507, 29.50000, 1.00000
3, 700, 1, 405, 27.50000, 1.00000
3, 700, 2, 359, 26.00000, 1.00000
3, 700, 3, 313, 24.00000, 1.00000
3, 700, 4, 279, 22.00000, 1.00000
3, 700, 5, 252, 20.00000, 1.00000
3, 700, 6, 231, 18.00000, 1.00000
3, 700, 7, 215, 16.00000, 1.00000
3, 700, 8, 201, 14.00000, 1.00000
3, 700, 9, 189, 12.00000, 1.00000
3, 700, 10, 180, 10.00000, 1.00000
3, 700, 11, 171, 8.00000, 1.00000
3, 700, 12, 164, 6.20000, 1.00000
3, 700, 13, 157, 4.10000, 1.00000
3, 700, 14, 153, 2.50000, 1.00000
3, 700, 15, 147, 0.30000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
4, 660, 0, 543, 29.50000, 1.00000
4, 660, 1, 428, 27.40000, 1.00000
4, 660, 2, 375, 25.80000, 1.00000
4, 660, 3, 332, 24.00000, 1.00000
4, 660, 4, 296, 22.00000, 1.00000
4, 660, 5, 267, 20.00000, 1.00000
4, 660, 6, 244, 18.00000, 1.00000
4, 660, 7, 226, 16.00000, 1.00000
4, 660, 8, 211, 14.00000, 1.00000
4, 660, 9, 198, 12.00000, 1.00000
4, 660, 10, 188, 10.00000, 1.00000
4, 660, 11, 178, 7.90000, 1.00000
4, 660, 12, 170, 5.90000, 1.00000
4, 660, 13, 163, 3.90000, 1.00000
4, 660, 14, 158, 2.40000, 1.00000
4, 660, 15, 151, 0.20000, 1.00000
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM850, 5, 32.55561, 32.50000, 32.00000, 33.00000, PASS
GSM850, 6, 30.56919, 30.50000, 30.00000, 31.00000, PASS
GSM850, 7, 29.17625, 29.10000, 28.50000, 29.50000, PASS
GSM850, 8, 27.17097, 27.10000, 26.50000, 27.80000, PASS
GSM850, 9, 25.18229, 25.10000, 24.50000, 25.80000, PASS
GSM850, 10, 23.19108, 23.10000, 22.50000, 23.80000, PASS
GSM850, 11, 21.19956, 21.10000, 20.50000, 21.80000, PASS
GSM850, 12, 19.16004, 19.10000, 18.50000, 19.80000, PASS
GSM850, 13, 17.10465, 17.10000, 16.50000, 17.80000, PASS
GSM850, 14, 15.18540, 15.10000, 14.50000, 15.80000, PASS
GSM850, 15, 13.13984, 13.10000, 12.50000, 13.80000, PASS
GSM850, 16, 11.00632, 11.00000, 10.00000, 12.00000, PASS
GSM850, 17, 9.12897, 9.00000, 8.00000, 10.00000, PASS
GSM850, 18, 7.00519, 7.00000, 6.00000, 8.00000, PASS
GSM850, 19, 5.30872, 5.10000, 4.00000, 6.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM900, 5, 32.53202, 32.50000, 32.00000, 33.00000, PASS
GSM900, 6, 30.55787, 30.50000, 30.00000, 31.00000, PASS
GSM900, 7, 29.15082, 29.10000, 28.50000, 29.50000, PASS
GSM900, 8, 27.15473, 27.10000, 26.50000, 27.80000, PASS
GSM900, 9, 25.13297, 25.10000, 24.50000, 25.80000, PASS
GSM900, 10, 23.23102, 23.10000, 22.50000, 23.80000, PASS
GSM900, 11, 21.16398, 21.10000, 20.50000, 21.80000, PASS
GSM900, 12, 19.15226, 19.10000, 18.50000, 19.80000, PASS
GSM900, 13, 17.17203, 17.10000, 16.50000, 17.80000, PASS
GSM900, 14, 15.15095, 15.10000, 14.50000, 15.80000, PASS
GSM900, 15, 13.24064, 13.10000, 12.50000, 13.80000, PASS
GSM900, 16, 11.03403, 11.00000, 10.00000, 12.00000, PASS
GSM900, 17, 8.99445, 9.00000, 8.00000, 10.00000, PASS
GSM900, 18, 6.99753, 7.00000, 6.00000, 8.00000, PASS
GSM900, 19, 5.08280, 5.10000, 4.00000, 6.30000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
DCS1800, 0, 29.53853, 29.50000, 29.00000, 30.00000, PASS
DCS1800, 1, 27.52809, 27.50000, 27.00000, 28.00000, PASS
DCS1800, 2, 26.02672, 26.00000, 25.00000, 26.50000, PASS
DCS1800, 3, 23.99287, 24.00000, 23.50000, 24.50000, PASS
DCS1800, 4, 21.98777, 22.00000, 21.50000, 22.50000, PASS
DCS1800, 5, 20.00291, 20.00000, 19.50000, 20.50000, PASS
DCS1800, 6, 17.95988, 18.00000, 17.50000, 18.50000, PASS
DCS1800, 7, 16.04057, 16.00000, 15.50000, 16.50000, PASS
DCS1800, 8, 14.01051, 14.00000, 13.50000, 14.50000, PASS
DCS1800, 9, 11.91826, 12.00000, 11.50000, 12.50000, PASS
DCS1800, 10, 10.08418, 10.00000, 9.00000, 11.00000, PASS
DCS1800, 11, 7.98832, 8.00000, 7.00000, 9.00000, PASS
DCS1800, 12, 6.10325, 6.20000, 5.00000, 7.00000, PASS
DCS1800, 13, 3.98097, 4.10000, 3.00000, 5.00000, PASS
DCS1800, 14, 2.65339, 2.50000, 1.50000, 3.50000, PASS
DCS1800, 15, 0.45912, 0.30000, -0.50000, 1.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
PCS1900, 0, 29.54544, 29.50000, 29.00000, 30.00000, PASS
PCS1900, 1, 27.43057, 27.40000, 26.70000, 28.00000, PASS
PCS1900, 2, 25.80161, 25.80000, 25.00000, 26.50000, PASS
PCS1900, 3, 24.00531, 24.00000, 23.50000, 24.50000, PASS
PCS1900, 4, 22.02975, 22.00000, 21.50000, 22.50000, PASS
PCS1900, 5, 19.96826, 20.00000, 19.50000, 20.50000, PASS
PCS1900, 6, 17.98532, 18.00000, 17.50000, 18.50000, PASS
PCS1900, 7, 15.99060, 16.00000, 15.50000, 16.50000, PASS
PCS1900, 8, 13.97928, 14.00000, 13.50000, 14.50000, PASS
PCS1900, 9, 11.90247, 12.00000, 11.50000, 12.50000, PASS
PCS1900, 10, 10.05039, 10.00000, 9.00000, 11.00000, PASS
PCS1900, 11, 7.89725, 7.90000, 7.00000, 9.00000, PASS
PCS1900, 12, 5.94153, 5.90000, 5.00000, 7.00000, PASS
PCS1900, 13, 3.99793, 3.90000, 2.90000, 5.50000, PASS
PCS1900, 14, 2.45071, 2.40000, 1.50000, 3.50000, PASS
PCS1900, 15, 0.05222, 0.20000, -0.50000, 1.00000, PASS
[GSM FHC UTS]
[FHC TX Subband Calibration]
Band: (GSM850)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (GSM900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (DCS1800)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (PCS1900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
    Total: 4622 ms
[GSM Path Test]
 Start Time:09/17/18 16:45:02.659 
    Total: 80 ms
