[Report Generation Time (2018/09/17 22:26:21.552 )]
[GSM FHC]
 Start Time:09/17/18 22:26:13.645 
    Total: 3173 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        12,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
62790
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      4084,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.752809,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 3.250, 8.500, -8.500, PASS
150, 3.250, 8.500, -8.500, PASS
160, 3.125, 8.500, -8.500, PASS
170, 2.875, 8.500, -8.500, PASS
180, 2.875, 8.500, -8.500, PASS
190, 2.875, 8.500, -8.500, PASS
200, 2.750, 8.500, -8.500, PASS
210, 2.625, 8.500, -8.500, PASS
220, 2.625, 8.500, -8.500, PASS
230, 2.625, 8.500, -8.500, PASS
240, 2.625, 8.500, -8.500, PASS
251, 2.750, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 2.625, 8.500, -8.500, PASS
30, 2.750, 8.500, -8.500, PASS
45, 2.875, 8.500, -8.500, PASS
55, 2.875, 8.500, -8.500, PASS
65, 2.875, 8.500, -8.500, PASS
75, 2.875, 8.500, -8.500, PASS
90, 2.750, 8.500, -8.500, PASS
105, 2.625, 8.500, -8.500, PASS
975, 2.500, 8.500, -8.500, PASS
1000, 2.500, 8.500, -8.500, PASS
1010, 2.500, 8.500, -8.500, PASS
1023, 2.500, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, -0.250, 8.500, -9.500, PASS
570, -0.125, 8.500, -9.500, PASS
600, 0.000, 8.500, -9.500, PASS
630, 0.000, 8.500, -9.500, PASS
670, 0.000, 8.500, -9.500, PASS
700, -0.125, 8.500, -9.500, PASS
730, -0.125, 8.500, -9.500, PASS
760, 0.000, 8.500, -9.500, PASS
790, 0.125, 8.500, -9.500, PASS
820, 0.125, 8.500, -9.500, PASS
850, 0.125, 8.500, -9.500, PASS
885, 0.000, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, 0.000, 8.500, -9.500, PASS
550, 0.125, 8.500, -9.500, PASS
570, 0.125, 8.500, -9.500, PASS
600, 0.250, 8.500, -9.500, PASS
630, 0.250, 8.500, -9.500, PASS
660, 0.250, 8.500, -9.500, PASS
690, 0.375, 8.500, -9.500, PASS
720, 0.500, 8.500, -9.500, PASS
750, 0.750, 8.500, -9.500, PASS
770, 0.875, 8.500, -9.500, PASS
790, 1.000, 8.500, -9.500, PASS
810, 1.000, 8.500, -9.500, PASS
 Start Time:09/17/18 22:26:16.892 
[GSM APC Calibration]
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
1, 190, 5, 524, 32.50000, 1.00000
1, 190, 6, 413, 30.50000, 1.00000
1, 190, 7, 364, 29.10000, 1.00000
1, 190, 8, 314, 27.10000, 1.00000
1, 190, 9, 278, 25.10000, 1.00000
1, 190, 10, 250, 23.10000, 1.00000
1, 190, 11, 228, 21.10000, 1.00000
1, 190, 12, 211, 19.10000, 1.00000
1, 190, 13, 197, 17.10000, 1.00000
1, 190, 14, 185, 15.10000, 1.00000
1, 190, 15, 175, 13.10000, 1.00000
1, 190, 16, 166, 11.00000, 1.00000
1, 190, 17, 159, 9.00000, 1.00000
1, 190, 18, 152, 7.00000, 1.00000
1, 190, 19, 146, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
2, 65, 5, 514, 32.50000, 1.00000
2, 65, 6, 412, 30.50000, 1.00000
2, 65, 7, 365, 29.10000, 1.00000
2, 65, 8, 318, 27.10000, 1.00000
2, 65, 9, 283, 25.10000, 1.00000
2, 65, 10, 255, 23.10000, 1.00000
2, 65, 11, 234, 21.10000, 1.00000
2, 65, 12, 217, 19.10000, 1.00000
2, 65, 13, 203, 17.10000, 1.00000
2, 65, 14, 191, 15.10000, 1.00000
2, 65, 15, 181, 13.10000, 1.00000
2, 65, 16, 171, 11.00000, 1.00000
2, 65, 17, 163, 9.00000, 1.00000
2, 65, 18, 156, 7.00000, 1.00000
2, 65, 19, 151, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
3, 700, 0, 509, 29.50000, 1.00000
3, 700, 1, 410, 27.50000, 1.00000
3, 700, 2, 363, 26.00000, 1.00000
3, 700, 3, 318, 24.00000, 1.00000
3, 700, 4, 283, 22.00000, 1.00000
3, 700, 5, 256, 20.00000, 1.00000
3, 700, 6, 235, 18.00000, 1.00000
3, 700, 7, 218, 16.00000, 1.00000
3, 700, 8, 204, 14.00000, 1.00000
3, 700, 9, 193, 12.00000, 1.00000
3, 700, 10, 183, 10.00000, 1.00000
3, 700, 11, 174, 8.00000, 1.00000
3, 700, 12, 167, 6.20000, 1.00000
3, 700, 13, 160, 4.10000, 1.00000
3, 700, 14, 155, 2.50000, 1.00000
3, 700, 15, 149, 0.30000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
4, 660, 0, 526, 29.50000, 1.00000
4, 660, 1, 421, 27.40000, 1.00000
4, 660, 2, 372, 25.80000, 1.00000
4, 660, 3, 330, 24.00000, 1.00000
4, 660, 4, 295, 22.00000, 1.00000
4, 660, 5, 268, 20.00000, 1.00000
4, 660, 6, 245, 18.00000, 1.00000
4, 660, 7, 227, 16.00000, 1.00000
4, 660, 8, 213, 14.00000, 1.00000
4, 660, 9, 200, 12.00000, 1.00000
4, 660, 10, 189, 10.00000, 1.00000
4, 660, 11, 180, 7.90000, 1.00000
4, 660, 12, 172, 5.90000, 1.00000
4, 660, 13, 165, 3.90000, 1.00000
4, 660, 14, 160, 2.40000, 1.00000
4, 660, 15, 153, 0.20000, 1.00000
[FHC TX Subband Calibration]
Band: (GSM850)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (GSM900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (DCS1800)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (PCS1900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM850, 5, 32.54059, 32.50000, 32.00000, 33.00000, PASS
GSM850, 6, 30.54655, 30.50000, 30.00000, 31.00000, PASS
GSM850, 7, 29.16263, 29.10000, 28.50000, 29.50000, PASS
GSM850, 8, 27.13450, 27.10000, 26.50000, 27.80000, PASS
GSM850, 9, 25.13267, 25.10000, 24.50000, 25.80000, PASS
GSM850, 10, 23.18882, 23.10000, 22.50000, 23.80000, PASS
GSM850, 11, 21.16880, 21.10000, 20.50000, 21.80000, PASS
GSM850, 12, 19.18394, 19.10000, 18.50000, 19.80000, PASS
GSM850, 13, 17.17231, 17.10000, 16.50000, 17.80000, PASS
GSM850, 14, 15.10941, 15.10000, 14.50000, 15.80000, PASS
GSM850, 15, 13.07853, 13.10000, 12.50000, 13.80000, PASS
GSM850, 16, 10.96513, 11.00000, 10.00000, 12.00000, PASS
GSM850, 17, 9.11887, 9.00000, 8.00000, 10.00000, PASS
GSM850, 18, 7.01194, 7.00000, 6.00000, 8.00000, PASS
GSM850, 19, 4.98649, 5.10000, 4.00000, 6.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM900, 5, 32.51630, 32.50000, 32.00000, 33.00000, PASS
GSM900, 6, 30.55747, 30.50000, 30.00000, 31.00000, PASS
GSM900, 7, 29.11585, 29.10000, 28.50000, 29.50000, PASS
GSM900, 8, 27.14274, 27.10000, 26.50000, 27.80000, PASS
GSM900, 9, 25.16907, 25.10000, 24.50000, 25.80000, PASS
GSM900, 10, 23.17377, 23.10000, 22.50000, 23.80000, PASS
GSM900, 11, 21.19156, 21.10000, 20.50000, 21.80000, PASS
GSM900, 12, 19.17505, 19.10000, 18.50000, 19.80000, PASS
GSM900, 13, 17.18336, 17.10000, 16.50000, 17.80000, PASS
GSM900, 14, 15.14768, 15.10000, 14.50000, 15.80000, PASS
GSM900, 15, 13.21421, 13.10000, 12.50000, 13.80000, PASS
GSM900, 16, 10.99952, 11.00000, 10.00000, 12.00000, PASS
GSM900, 17, 8.95951, 9.00000, 8.00000, 10.00000, PASS
GSM900, 18, 6.93397, 7.00000, 6.00000, 8.00000, PASS
GSM900, 19, 5.32209, 5.10000, 4.00000, 6.30000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
DCS1800, 0, 29.51475, 29.50000, 29.00000, 30.00000, PASS
DCS1800, 1, 27.52318, 27.50000, 27.00000, 28.00000, PASS
DCS1800, 2, 25.98515, 26.00000, 25.00000, 26.50000, PASS
DCS1800, 3, 24.00648, 24.00000, 23.50000, 24.50000, PASS
DCS1800, 4, 21.96110, 22.00000, 21.50000, 22.50000, PASS
DCS1800, 5, 19.98240, 20.00000, 19.50000, 20.50000, PASS
DCS1800, 6, 17.95851, 18.00000, 17.50000, 18.50000, PASS
DCS1800, 7, 15.94050, 16.00000, 15.50000, 16.50000, PASS
DCS1800, 8, 13.90263, 14.00000, 13.50000, 14.50000, PASS
DCS1800, 9, 11.99867, 12.00000, 11.50000, 12.50000, PASS
DCS1800, 10, 9.98842, 10.00000, 9.00000, 11.00000, PASS
DCS1800, 11, 7.90065, 8.00000, 7.00000, 9.00000, PASS
DCS1800, 12, 6.05729, 6.20000, 5.00000, 7.00000, PASS
DCS1800, 13, 3.97856, 4.10000, 3.00000, 5.00000, PASS
DCS1800, 14, 2.32649, 2.50000, 1.50000, 3.50000, PASS
DCS1800, 15, 0.13792, 0.30000, -0.50000, 1.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
PCS1900, 0, 29.54105, 29.50000, 29.00000, 30.00000, PASS
PCS1900, 1, 27.41891, 27.40000, 26.70000, 28.00000, PASS
PCS1900, 2, 25.83069, 25.80000, 25.00000, 26.50000, PASS
PCS1900, 3, 24.01065, 24.00000, 23.50000, 24.50000, PASS
PCS1900, 4, 22.02228, 22.00000, 21.50000, 22.50000, PASS
PCS1900, 5, 20.03741, 20.00000, 19.50000, 20.50000, PASS
PCS1900, 6, 18.00598, 18.00000, 17.50000, 18.50000, PASS
PCS1900, 7, 15.97107, 16.00000, 15.50000, 16.50000, PASS
PCS1900, 8, 14.05872, 14.00000, 13.50000, 14.50000, PASS
PCS1900, 9, 11.95642, 12.00000, 11.50000, 12.50000, PASS
PCS1900, 10, 9.88104, 10.00000, 9.00000, 11.00000, PASS
PCS1900, 11, 7.92099, 7.90000, 7.00000, 9.00000, PASS
PCS1900, 12, 5.94269, 5.90000, 5.00000, 7.00000, PASS
PCS1900, 13, 3.98297, 3.90000, 2.90000, 5.50000, PASS
PCS1900, 14, 2.44946, 2.40000, 1.50000, 3.50000, PASS
PCS1900, 15, 0.05576, 0.20000, -0.50000, 1.00000, PASS
[GSM FHC UTS]
