[Report Generation Time (2018/09/17 23:00:10.358 )]
[GSM FHC]
 Start Time:09/17/18 23:00:02.031 
    Total: 3406 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        12,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
62790
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      3866,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.505376,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 3.125, 8.500, -8.500, PASS
150, 3.000, 8.500, -8.500, PASS
160, 2.875, 8.500, -8.500, PASS
170, 2.750, 8.500, -8.500, PASS
180, 2.750, 8.500, -8.500, PASS
190, 2.625, 8.500, -8.500, PASS
200, 2.500, 8.500, -8.500, PASS
210, 2.500, 8.500, -8.500, PASS
220, 2.500, 8.500, -8.500, PASS
230, 2.375, 8.500, -8.500, PASS
240, 2.500, 8.500, -8.500, PASS
251, 2.500, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 2.500, 8.500, -8.500, PASS
30, 2.500, 8.500, -8.500, PASS
45, 2.625, 8.500, -8.500, PASS
55, 2.625, 8.500, -8.500, PASS
65, 2.625, 8.500, -8.500, PASS
75, 2.625, 8.500, -8.500, PASS
90, 2.625, 8.500, -8.500, PASS
105, 2.500, 8.500, -8.500, PASS
975, 2.250, 8.500, -8.500, PASS
1000, 2.250, 8.500, -8.500, PASS
1010, 2.250, 8.500, -8.500, PASS
1023, 2.375, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, -0.375, 8.500, -9.500, PASS
570, -0.250, 8.500, -9.500, PASS
600, -0.250, 8.500, -9.500, PASS
630, -0.125, 8.500, -9.500, PASS
670, -0.250, 8.500, -9.500, PASS
700, -0.250, 8.500, -9.500, PASS
730, -0.250, 8.500, -9.500, PASS
760, -0.125, 8.500, -9.500, PASS
790, -0.125, 8.500, -9.500, PASS
820, 0.000, 8.500, -9.500, PASS
850, 0.000, 8.500, -9.500, PASS
885, -0.125, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, -0.125, 8.500, -9.500, PASS
550, 0.000, 8.500, -9.500, PASS
570, 0.125, 8.500, -9.500, PASS
600, 0.125, 8.500, -9.500, PASS
630, 0.250, 8.500, -9.500, PASS
660, 0.250, 8.500, -9.500, PASS
690, 0.375, 8.500, -9.500, PASS
720, 0.500, 8.500, -9.500, PASS
750, 0.750, 8.500, -9.500, PASS
770, 0.875, 8.500, -9.500, PASS
790, 0.875, 8.500, -9.500, PASS
810, 1.000, 8.500, -9.500, PASS
 Start Time:09/17/18 23:00:05.514 
[GSM APC Calibration]
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
1, 190, 5, 519, 32.50000, 1.00000
1, 190, 6, 406, 30.50000, 1.00000
1, 190, 7, 359, 29.10000, 1.00000
1, 190, 8, 311, 27.10000, 1.00000
1, 190, 9, 276, 25.10000, 1.00000
1, 190, 10, 249, 23.10000, 1.00000
1, 190, 11, 228, 21.10000, 1.00000
1, 190, 12, 211, 19.10000, 1.00000
1, 190, 13, 198, 17.10000, 1.00000
1, 190, 14, 186, 15.10000, 1.00000
1, 190, 15, 177, 13.10000, 1.00000
1, 190, 16, 167, 11.00000, 1.00000
1, 190, 17, 160, 9.00000, 1.00000
1, 190, 18, 153, 7.00000, 1.00000
1, 190, 19, 148, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
2, 65, 5, 509, 32.50000, 1.00000
2, 65, 6, 406, 30.50000, 1.00000
2, 65, 7, 360, 29.10000, 1.00000
2, 65, 8, 315, 27.10000, 1.00000
2, 65, 9, 281, 25.10000, 1.00000
2, 65, 10, 254, 23.10000, 1.00000
2, 65, 11, 233, 21.10000, 1.00000
2, 65, 12, 217, 19.10000, 1.00000
2, 65, 13, 204, 17.10000, 1.00000
2, 65, 14, 192, 15.10000, 1.00000
2, 65, 15, 182, 13.10000, 1.00000
2, 65, 16, 173, 11.00000, 1.00000
2, 65, 17, 165, 9.00000, 1.00000
2, 65, 18, 158, 7.00000, 1.00000
2, 65, 19, 152, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
3, 700, 0, 512, 29.50000, 1.00000
3, 700, 1, 410, 27.50000, 1.00000
3, 700, 2, 363, 26.00000, 1.00000
3, 700, 3, 318, 24.00000, 1.00000
3, 700, 4, 284, 22.00000, 1.00000
3, 700, 5, 256, 20.00000, 1.00000
3, 700, 6, 236, 18.00000, 1.00000
3, 700, 7, 219, 16.00000, 1.00000
3, 700, 8, 205, 14.00000, 1.00000
3, 700, 9, 193, 12.00000, 1.00000
3, 700, 10, 183, 10.00000, 1.00000
3, 700, 11, 175, 8.00000, 1.00000
3, 700, 12, 168, 6.20000, 1.00000
3, 700, 13, 161, 4.10000, 1.00000
3, 700, 14, 156, 2.50000, 1.00000
3, 700, 15, 150, 0.30000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
4, 660, 0, 535, 29.50000, 1.00000
4, 660, 1, 426, 27.40000, 1.00000
4, 660, 2, 375, 25.80000, 1.00000
4, 660, 3, 332, 24.00000, 1.00000
4, 660, 4, 297, 22.00000, 1.00000
4, 660, 5, 269, 20.00000, 1.00000
4, 660, 6, 246, 18.00000, 1.00000
4, 660, 7, 229, 16.00000, 1.00000
4, 660, 8, 214, 14.00000, 1.00000
4, 660, 9, 201, 12.00000, 1.00000
4, 660, 10, 191, 10.00000, 1.00000
4, 660, 11, 181, 7.90000, 1.00000
4, 660, 12, 173, 5.90000, 1.00000
4, 660, 13, 166, 3.90000, 1.00000
4, 660, 14, 161, 2.40000, 1.00000
4, 660, 15, 155, 0.20000, 1.00000
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM850, 5, 32.55115, 32.50000, 32.00000, 33.00000, PASS
GSM850, 6, 30.54929, 30.50000, 30.00000, 31.00000, PASS
GSM850, 7, 29.17643, 29.10000, 28.50000, 29.50000, PASS
GSM850, 8, 27.15076, 27.10000, 26.50000, 27.80000, PASS
GSM850, 9, 25.13480, 25.10000, 24.50000, 25.80000, PASS
GSM850, 10, 23.20087, 23.10000, 22.50000, 23.80000, PASS
GSM850, 11, 21.19434, 21.10000, 20.50000, 21.80000, PASS
GSM850, 12, 19.13788, 19.10000, 18.50000, 19.80000, PASS
GSM850, 13, 17.21796, 17.10000, 16.50000, 17.80000, PASS
GSM850, 14, 15.12278, 15.10000, 14.50000, 15.80000, PASS
GSM850, 15, 13.29532, 13.10000, 12.50000, 13.80000, PASS
GSM850, 16, 10.91267, 11.00000, 10.00000, 12.00000, PASS
GSM850, 17, 9.03525, 9.00000, 8.00000, 10.00000, PASS
GSM850, 18, 6.89783, 7.00000, 6.00000, 8.00000, PASS
GSM850, 19, 5.17930, 5.10000, 4.00000, 6.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM900, 5, 32.53901, 32.50000, 32.00000, 33.00000, PASS
GSM900, 6, 30.57310, 30.50000, 30.00000, 31.00000, PASS
GSM900, 7, 29.12495, 29.10000, 28.50000, 29.50000, PASS
GSM900, 8, 27.16889, 27.10000, 26.50000, 27.80000, PASS
GSM900, 9, 25.17051, 25.10000, 24.50000, 25.80000, PASS
GSM900, 10, 23.17563, 23.10000, 22.50000, 23.80000, PASS
GSM900, 11, 21.10334, 21.10000, 20.50000, 21.80000, PASS
GSM900, 12, 19.14179, 19.10000, 18.50000, 19.80000, PASS
GSM900, 13, 17.25086, 17.10000, 16.50000, 17.80000, PASS
GSM900, 14, 15.17927, 15.10000, 14.50000, 15.80000, PASS
GSM900, 15, 13.23405, 13.10000, 12.50000, 13.80000, PASS
GSM900, 16, 11.22913, 11.00000, 10.00000, 12.00000, PASS
GSM900, 17, 9.19364, 9.00000, 8.00000, 10.00000, PASS
GSM900, 18, 7.16883, 7.00000, 6.00000, 8.00000, PASS
GSM900, 19, 5.23713, 5.10000, 4.00000, 6.30000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
DCS1800, 0, 29.52934, 29.50000, 29.00000, 30.00000, PASS
DCS1800, 1, 27.51463, 27.50000, 27.00000, 28.00000, PASS
DCS1800, 2, 25.99846, 26.00000, 25.00000, 26.50000, PASS
DCS1800, 3, 24.02510, 24.00000, 23.50000, 24.50000, PASS
DCS1800, 4, 22.03508, 22.00000, 21.50000, 22.50000, PASS
DCS1800, 5, 19.97450, 20.00000, 19.50000, 20.50000, PASS
DCS1800, 6, 18.04548, 18.00000, 17.50000, 18.50000, PASS
DCS1800, 7, 16.01683, 16.00000, 15.50000, 16.50000, PASS
DCS1800, 8, 13.99678, 14.00000, 13.50000, 14.50000, PASS
DCS1800, 9, 11.90706, 12.00000, 11.50000, 12.50000, PASS
DCS1800, 10, 9.86982, 10.00000, 9.00000, 11.00000, PASS
DCS1800, 11, 7.98832, 8.00000, 7.00000, 9.00000, PASS
DCS1800, 12, 6.12916, 6.20000, 5.00000, 7.00000, PASS
DCS1800, 13, 4.03303, 4.10000, 3.00000, 5.00000, PASS
DCS1800, 14, 2.37898, 2.50000, 1.50000, 3.50000, PASS
DCS1800, 15, 0.17747, 0.30000, -0.50000, 1.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
PCS1900, 0, 29.54593, 29.50000, 29.00000, 30.00000, PASS
PCS1900, 1, 27.42688, 27.40000, 26.70000, 28.00000, PASS
PCS1900, 2, 25.83115, 25.80000, 25.00000, 26.50000, PASS
PCS1900, 3, 24.00040, 24.00000, 23.50000, 24.50000, PASS
PCS1900, 4, 22.02621, 22.00000, 21.50000, 22.50000, PASS
PCS1900, 5, 19.98282, 20.00000, 19.50000, 20.50000, PASS
PCS1900, 6, 17.96130, 18.00000, 17.50000, 18.50000, PASS
PCS1900, 7, 16.05249, 16.00000, 15.50000, 16.50000, PASS
PCS1900, 8, 14.02386, 14.00000, 13.50000, 14.50000, PASS
PCS1900, 9, 11.93152, 12.00000, 11.50000, 12.50000, PASS
PCS1900, 10, 10.05826, 10.00000, 9.00000, 11.00000, PASS
PCS1900, 11, 7.88260, 7.90000, 7.00000, 9.00000, PASS
PCS1900, 12, 5.89542, 5.90000, 5.00000, 7.00000, PASS
PCS1900, 13, 3.93387, 3.90000, 2.90000, 5.50000, PASS
PCS1900, 14, 2.37930, 2.40000, 1.50000, 3.50000, PASS
PCS1900, 15, 0.35037, 0.20000, -0.50000, 1.00000, PASS
[GSM FHC UTS]
[FHC TX Subband Calibration]
Band: (GSM850)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (GSM900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (DCS1800)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (PCS1900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
    Total: 4741 ms
[GSM Path Test]
 Start Time:09/17/18 23:00:10.304 
    Total: 27 ms
