[Report Generation Time (2018/09/17 08:23:59.983 )]
[GSM FHC]
 Start Time:09/17/18 08:23:51.815 
    Total: 3037 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        12,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
62790
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      3980,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.626374,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 3.000, 8.500, -8.500, PASS
150, 2.875, 8.500, -8.500, PASS
160, 2.875, 8.500, -8.500, PASS
170, 2.625, 8.500, -8.500, PASS
180, 2.625, 8.500, -8.500, PASS
190, 2.500, 8.500, -8.500, PASS
200, 2.500, 8.500, -8.500, PASS
210, 2.375, 8.500, -8.500, PASS
220, 2.375, 8.500, -8.500, PASS
230, 2.375, 8.500, -8.500, PASS
240, 2.375, 8.500, -8.500, PASS
251, 2.500, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 2.375, 8.500, -8.500, PASS
30, 2.500, 8.500, -8.500, PASS
45, 2.625, 8.500, -8.500, PASS
55, 2.625, 8.500, -8.500, PASS
65, 2.625, 8.500, -8.500, PASS
75, 2.625, 8.500, -8.500, PASS
90, 2.500, 8.500, -8.500, PASS
105, 2.375, 8.500, -8.500, PASS
975, 2.250, 8.500, -8.500, PASS
1000, 2.250, 8.500, -8.500, PASS
1010, 2.250, 8.500, -8.500, PASS
1023, 2.250, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, -0.375, 8.500, -9.500, PASS
570, -0.250, 8.500, -9.500, PASS
600, -0.125, 8.500, -9.500, PASS
630, -0.125, 8.500, -9.500, PASS
670, -0.250, 8.500, -9.500, PASS
700, -0.250, 8.500, -9.500, PASS
730, -0.250, 8.500, -9.500, PASS
760, -0.125, 8.500, -9.500, PASS
790, 0.000, 8.500, -9.500, PASS
820, 0.000, 8.500, -9.500, PASS
850, 0.000, 8.500, -9.500, PASS
885, -0.125, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, -0.125, 8.500, -9.500, PASS
550, 0.000, 8.500, -9.500, PASS
570, 0.000, 8.500, -9.500, PASS
600, 0.125, 8.500, -9.500, PASS
630, 0.125, 8.500, -9.500, PASS
660, 0.125, 8.500, -9.500, PASS
690, 0.250, 8.500, -9.500, PASS
720, 0.375, 8.500, -9.500, PASS
750, 0.625, 8.500, -9.500, PASS
770, 0.625, 8.500, -9.500, PASS
790, 0.750, 8.500, -9.500, PASS
810, 0.875, 8.500, -9.500, PASS
 Start Time:09/17/18 08:23:54.905 
[GSM APC Calibration]
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
1, 190, 5, 499, 32.50000, 1.00000
1, 190, 6, 395, 30.50000, 1.00000
1, 190, 7, 349, 29.10000, 1.00000
1, 190, 8, 302, 27.10000, 1.00000
1, 190, 9, 267, 25.10000, 1.00000
1, 190, 10, 238, 23.10000, 1.00000
1, 190, 11, 217, 21.10000, 1.00000
1, 190, 12, 200, 19.10000, 1.00000
1, 190, 13, 187, 17.10000, 1.00000
1, 190, 14, 176, 15.10000, 1.00000
1, 190, 15, 166, 13.10000, 1.00000
1, 190, 16, 157, 11.00000, 1.00000
1, 190, 17, 149, 9.00000, 1.00000
1, 190, 18, 143, 7.00000, 1.00000
1, 190, 19, 137, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
2, 65, 5, 492, 32.50000, 1.00000
2, 65, 6, 395, 30.50000, 1.00000
2, 65, 7, 352, 29.10000, 1.00000
2, 65, 8, 306, 27.10000, 1.00000
2, 65, 9, 271, 25.10000, 1.00000
2, 65, 10, 244, 23.10000, 1.00000
2, 65, 11, 223, 21.10000, 1.00000
2, 65, 12, 207, 19.10000, 1.00000
2, 65, 13, 193, 17.10000, 1.00000
2, 65, 14, 181, 15.10000, 1.00000
2, 65, 15, 171, 13.10000, 1.00000
2, 65, 16, 162, 11.00000, 1.00000
2, 65, 17, 154, 9.00000, 1.00000
2, 65, 18, 147, 7.00000, 1.00000
2, 65, 19, 142, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
3, 700, 0, 484, 29.50000, 1.00000
3, 700, 1, 392, 27.50000, 1.00000
3, 700, 2, 348, 26.00000, 1.00000
3, 700, 3, 304, 24.00000, 1.00000
3, 700, 4, 270, 22.00000, 1.00000
3, 700, 5, 243, 20.00000, 1.00000
3, 700, 6, 222, 18.00000, 1.00000
3, 700, 7, 206, 16.00000, 1.00000
3, 700, 8, 193, 14.00000, 1.00000
3, 700, 9, 181, 12.00000, 1.00000
3, 700, 10, 172, 10.00000, 1.00000
3, 700, 11, 163, 8.00000, 1.00000
3, 700, 12, 157, 6.20000, 1.00000
3, 700, 13, 150, 4.10000, 1.00000
3, 700, 14, 145, 2.50000, 1.00000
3, 700, 15, 139, 0.30000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
4, 660, 0, 493, 29.50000, 1.00000
4, 660, 1, 400, 27.40000, 1.00000
4, 660, 2, 353, 25.80000, 1.00000
4, 660, 3, 313, 24.00000, 1.00000
4, 660, 4, 279, 22.00000, 1.00000
4, 660, 5, 252, 20.00000, 1.00000
4, 660, 6, 231, 18.00000, 1.00000
4, 660, 7, 214, 16.00000, 1.00000
4, 660, 8, 199, 14.00000, 1.00000
4, 660, 9, 188, 12.00000, 1.00000
4, 660, 10, 177, 10.00000, 1.00000
4, 660, 11, 168, 7.90000, 1.00000
4, 660, 12, 160, 5.90000, 1.00000
4, 660, 13, 154, 3.90000, 1.00000
4, 660, 14, 149, 2.40000, 1.00000
4, 660, 15, 143, 0.20000, 1.00000
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM850, 5, 32.54740, 32.50000, 32.00000, 33.00000, PASS
GSM850, 6, 30.53541, 30.50000, 30.00000, 31.00000, PASS
GSM850, 7, 29.14353, 29.10000, 28.50000, 29.50000, PASS
GSM850, 8, 27.16028, 27.10000, 26.50000, 27.80000, PASS
GSM850, 9, 25.17588, 25.10000, 24.50000, 25.80000, PASS
GSM850, 10, 23.11320, 23.10000, 22.50000, 23.80000, PASS
GSM850, 11, 21.12388, 21.10000, 20.50000, 21.80000, PASS
GSM850, 12, 19.07523, 19.10000, 18.50000, 19.80000, PASS
GSM850, 13, 17.16410, 17.10000, 16.50000, 17.80000, PASS
GSM850, 14, 15.24549, 15.10000, 14.50000, 15.80000, PASS
GSM850, 15, 13.21815, 13.10000, 12.50000, 13.80000, PASS
GSM850, 16, 11.07670, 11.00000, 10.00000, 12.00000, PASS
GSM850, 17, 8.91889, 9.00000, 8.00000, 10.00000, PASS
GSM850, 18, 7.06086, 7.00000, 6.00000, 8.00000, PASS
GSM850, 19, 4.98194, 5.10000, 4.00000, 6.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM900, 5, 32.56714, 32.50000, 32.00000, 33.00000, PASS
GSM900, 6, 30.54719, 30.50000, 30.00000, 31.00000, PASS
GSM900, 7, 29.15684, 29.10000, 28.50000, 29.50000, PASS
GSM900, 8, 27.16352, 27.10000, 26.50000, 27.80000, PASS
GSM900, 9, 25.13380, 25.10000, 24.50000, 25.80000, PASS
GSM900, 10, 23.18073, 23.10000, 22.50000, 23.80000, PASS
GSM900, 11, 21.15302, 21.10000, 20.50000, 21.80000, PASS
GSM900, 12, 19.21857, 19.10000, 18.50000, 19.80000, PASS
GSM900, 13, 17.18506, 17.10000, 16.50000, 17.80000, PASS
GSM900, 14, 15.12076, 15.10000, 14.50000, 15.80000, PASS
GSM900, 15, 13.15781, 13.10000, 12.50000, 13.80000, PASS
GSM900, 16, 11.11951, 11.00000, 10.00000, 12.00000, PASS
GSM900, 17, 9.04331, 9.00000, 8.00000, 10.00000, PASS
GSM900, 18, 6.97617, 7.00000, 6.00000, 8.00000, PASS
GSM900, 19, 5.32835, 5.10000, 4.00000, 6.30000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
DCS1800, 0, 29.53743, 29.50000, 29.00000, 30.00000, PASS
DCS1800, 1, 27.51948, 27.50000, 27.00000, 28.00000, PASS
DCS1800, 2, 26.00789, 26.00000, 25.00000, 26.50000, PASS
DCS1800, 3, 24.01991, 24.00000, 23.50000, 24.50000, PASS
DCS1800, 4, 22.00688, 22.00000, 21.50000, 22.50000, PASS
DCS1800, 5, 20.01066, 20.00000, 19.50000, 20.50000, PASS
DCS1800, 6, 17.95082, 18.00000, 17.50000, 18.50000, PASS
DCS1800, 7, 15.99897, 16.00000, 15.50000, 16.50000, PASS
DCS1800, 8, 14.07856, 14.00000, 13.50000, 14.50000, PASS
DCS1800, 9, 11.94758, 12.00000, 11.50000, 12.50000, PASS
DCS1800, 10, 10.08055, 10.00000, 9.00000, 11.00000, PASS
DCS1800, 11, 7.92305, 8.00000, 7.00000, 9.00000, PASS
DCS1800, 12, 6.28920, 6.20000, 5.00000, 7.00000, PASS
DCS1800, 13, 4.15053, 4.10000, 3.00000, 5.00000, PASS
DCS1800, 14, 2.45570, 2.50000, 1.50000, 3.50000, PASS
DCS1800, 15, 0.19325, 0.30000, -0.50000, 1.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
PCS1900, 0, 29.55048, 29.50000, 29.00000, 30.00000, PASS
PCS1900, 1, 27.44241, 27.40000, 26.70000, 28.00000, PASS
PCS1900, 2, 25.81122, 25.80000, 25.00000, 26.50000, PASS
PCS1900, 3, 23.99823, 24.00000, 23.50000, 24.50000, PASS
PCS1900, 4, 22.00067, 22.00000, 21.50000, 22.50000, PASS
PCS1900, 5, 20.03314, 20.00000, 19.50000, 20.50000, PASS
PCS1900, 6, 18.04114, 18.00000, 17.50000, 18.50000, PASS
PCS1900, 7, 16.05698, 16.00000, 15.50000, 16.50000, PASS
PCS1900, 8, 13.91824, 14.00000, 13.50000, 14.50000, PASS
PCS1900, 9, 12.06094, 12.00000, 11.50000, 12.50000, PASS
PCS1900, 10, 9.89972, 10.00000, 9.00000, 11.00000, PASS
PCS1900, 11, 7.84296, 7.90000, 7.00000, 9.00000, PASS
PCS1900, 12, 5.74609, 5.90000, 5.00000, 7.00000, PASS
PCS1900, 13, 3.99356, 3.90000, 2.90000, 5.50000, PASS
PCS1900, 14, 2.37109, 2.40000, 1.50000, 3.50000, PASS
PCS1900, 15, 0.23828, 0.20000, -0.50000, 1.00000, PASS
[GSM FHC UTS]
[FHC TX Subband Calibration]
Band: (GSM850)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (GSM900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (DCS1800)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (PCS1900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
    Total: 4878 ms
[GSM Path Test]
 Start Time:09/17/18 08:23:59.873 
    Total: 110 ms
