[Report Generation Time (2018/09/17 10:29:07.315 )]
[GSM FHC]
 Start Time:09/17/18 10:28:59.069 
    Total: 3587 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        13,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
62790
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      3763,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.876614,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 3.250, 8.500, -8.500, PASS
150, 3.125, 8.500, -8.500, PASS
160, 3.000, 8.500, -8.500, PASS
170, 2.875, 8.500, -8.500, PASS
180, 2.875, 8.500, -8.500, PASS
190, 2.750, 8.500, -8.500, PASS
200, 2.750, 8.500, -8.500, PASS
210, 2.625, 8.500, -8.500, PASS
220, 2.625, 8.500, -8.500, PASS
230, 2.750, 8.500, -8.500, PASS
240, 2.750, 8.500, -8.500, PASS
251, 2.750, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 2.750, 8.500, -8.500, PASS
30, 2.875, 8.500, -8.500, PASS
45, 2.875, 8.500, -8.500, PASS
55, 3.000, 8.500, -8.500, PASS
65, 2.875, 8.500, -8.500, PASS
75, 2.875, 8.500, -8.500, PASS
90, 2.750, 8.500, -8.500, PASS
105, 2.625, 8.500, -8.500, PASS
975, 2.500, 8.500, -8.500, PASS
1000, 2.625, 8.500, -8.500, PASS
1010, 2.625, 8.500, -8.500, PASS
1023, 2.750, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, -0.125, 8.500, -9.500, PASS
570, -0.125, 8.500, -9.500, PASS
600, 0.000, 8.500, -9.500, PASS
630, -0.125, 8.500, -9.500, PASS
670, -0.125, 8.500, -9.500, PASS
700, -0.125, 8.500, -9.500, PASS
730, 0.000, 8.500, -9.500, PASS
760, 0.125, 8.500, -9.500, PASS
790, 0.125, 8.500, -9.500, PASS
820, 0.125, 8.500, -9.500, PASS
850, 0.000, 8.500, -9.500, PASS
885, 0.000, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, 0.125, 8.500, -9.500, PASS
550, 0.250, 8.500, -9.500, PASS
570, 0.250, 8.500, -9.500, PASS
600, 0.250, 8.500, -9.500, PASS
630, 0.375, 8.500, -9.500, PASS
660, 0.375, 8.500, -9.500, PASS
690, 0.625, 8.500, -9.500, PASS
720, 0.750, 8.500, -9.500, PASS
750, 1.000, 8.500, -9.500, PASS
770, 1.000, 8.500, -9.500, PASS
790, 1.125, 8.500, -9.500, PASS
810, 1.250, 8.500, -9.500, PASS
 Start Time:09/17/18 10:29:02.712 
[GSM APC Calibration]
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
1, 190, 5, 508, 32.50000, 1.00000
1, 190, 6, 399, 30.50000, 1.00000
1, 190, 7, 352, 29.10000, 1.00000
1, 190, 8, 305, 27.10000, 1.00000
1, 190, 9, 270, 25.10000, 1.00000
1, 190, 10, 242, 23.10000, 1.00000
1, 190, 11, 221, 21.10000, 1.00000
1, 190, 12, 204, 19.10000, 1.00000
1, 190, 13, 191, 17.10000, 1.00000
1, 190, 14, 179, 15.10000, 1.00000
1, 190, 15, 170, 13.10000, 1.00000
1, 190, 16, 161, 11.00000, 1.00000
1, 190, 17, 153, 9.00000, 1.00000
1, 190, 18, 147, 7.00000, 1.00000
1, 190, 19, 141, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
2, 65, 5, 506, 32.50000, 1.00000
2, 65, 6, 404, 30.50000, 1.00000
2, 65, 7, 360, 29.10000, 1.00000
2, 65, 8, 312, 27.10000, 1.00000
2, 65, 9, 277, 25.10000, 1.00000
2, 65, 10, 249, 23.10000, 1.00000
2, 65, 11, 228, 21.10000, 1.00000
2, 65, 12, 211, 19.10000, 1.00000
2, 65, 13, 198, 17.10000, 1.00000
2, 65, 14, 186, 15.10000, 1.00000
2, 65, 15, 176, 13.10000, 1.00000
2, 65, 16, 166, 11.00000, 1.00000
2, 65, 17, 159, 9.00000, 1.00000
2, 65, 18, 152, 7.00000, 1.00000
2, 65, 19, 146, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
3, 700, 0, 489, 29.50000, 1.00000
3, 700, 1, 394, 27.50000, 1.00000
3, 700, 2, 349, 26.00000, 1.00000
3, 700, 3, 305, 24.00000, 1.00000
3, 700, 4, 272, 22.00000, 1.00000
3, 700, 5, 245, 20.00000, 1.00000
3, 700, 6, 224, 18.00000, 1.00000
3, 700, 7, 208, 16.00000, 1.00000
3, 700, 8, 195, 14.00000, 1.00000
3, 700, 9, 184, 12.00000, 1.00000
3, 700, 10, 174, 10.00000, 1.00000
3, 700, 11, 166, 8.00000, 1.00000
3, 700, 12, 159, 6.20000, 1.00000
3, 700, 13, 153, 4.10000, 1.00000
3, 700, 14, 148, 2.50000, 1.00000
3, 700, 15, 142, 0.30000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
4, 660, 0, 506, 29.50000, 1.00000
4, 660, 1, 406, 27.40000, 1.00000
4, 660, 2, 358, 25.80000, 1.00000
4, 660, 3, 318, 24.00000, 1.00000
4, 660, 4, 283, 22.00000, 1.00000
4, 660, 5, 255, 20.00000, 1.00000
4, 660, 6, 234, 18.00000, 1.00000
4, 660, 7, 217, 16.00000, 1.00000
4, 660, 8, 203, 14.00000, 1.00000
4, 660, 9, 191, 12.00000, 1.00000
4, 660, 10, 181, 10.00000, 1.00000
4, 660, 11, 171, 7.90000, 1.00000
4, 660, 12, 164, 5.90000, 1.00000
4, 660, 13, 157, 3.90000, 1.00000
4, 660, 14, 152, 2.40000, 1.00000
4, 660, 15, 146, 0.20000, 1.00000
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM850, 5, 32.56806, 32.50000, 32.00000, 33.00000, PASS
GSM850, 6, 30.54410, 30.50000, 30.00000, 31.00000, PASS
GSM850, 7, 29.14258, 29.10000, 28.50000, 29.50000, PASS
GSM850, 8, 27.16328, 27.10000, 26.50000, 27.80000, PASS
GSM850, 9, 25.16474, 25.10000, 24.50000, 25.80000, PASS
GSM850, 10, 23.16840, 23.10000, 22.50000, 23.80000, PASS
GSM850, 11, 21.18009, 21.10000, 20.50000, 21.80000, PASS
GSM850, 12, 19.13846, 19.10000, 18.50000, 19.80000, PASS
GSM850, 13, 17.21458, 17.10000, 16.50000, 17.80000, PASS
GSM850, 14, 15.10880, 15.10000, 14.50000, 15.80000, PASS
GSM850, 15, 13.24457, 13.10000, 12.50000, 13.80000, PASS
GSM850, 16, 11.11179, 11.00000, 10.00000, 12.00000, PASS
GSM850, 17, 8.94016, 9.00000, 8.00000, 10.00000, PASS
GSM850, 18, 7.09544, 7.00000, 6.00000, 8.00000, PASS
GSM850, 19, 5.01334, 5.10000, 4.00000, 6.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM900, 5, 32.54847, 32.50000, 32.00000, 33.00000, PASS
GSM900, 6, 30.53593, 30.50000, 30.00000, 31.00000, PASS
GSM900, 7, 29.17396, 29.10000, 28.50000, 29.50000, PASS
GSM900, 8, 27.14335, 27.10000, 26.50000, 27.80000, PASS
GSM900, 9, 25.14979, 25.10000, 24.50000, 25.80000, PASS
GSM900, 10, 23.15125, 23.10000, 22.50000, 23.80000, PASS
GSM900, 11, 21.13987, 21.10000, 20.50000, 21.80000, PASS
GSM900, 12, 19.10862, 19.10000, 18.50000, 19.80000, PASS
GSM900, 13, 17.22404, 17.10000, 16.50000, 17.80000, PASS
GSM900, 14, 15.17597, 15.10000, 14.50000, 15.80000, PASS
GSM900, 15, 13.21625, 13.10000, 12.50000, 13.80000, PASS
GSM900, 16, 10.96995, 11.00000, 10.00000, 12.00000, PASS
GSM900, 17, 9.17976, 9.00000, 8.00000, 10.00000, PASS
GSM900, 18, 7.16337, 7.00000, 6.00000, 8.00000, PASS
GSM900, 19, 5.21790, 5.10000, 4.00000, 6.30000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
DCS1800, 0, 29.54142, 29.50000, 29.00000, 30.00000, PASS
DCS1800, 1, 27.53715, 27.50000, 27.00000, 28.00000, PASS
DCS1800, 2, 26.00987, 26.00000, 25.00000, 26.50000, PASS
DCS1800, 3, 24.01136, 24.00000, 23.50000, 24.50000, PASS
DCS1800, 4, 22.03962, 22.00000, 21.50000, 22.50000, PASS
DCS1800, 5, 20.02626, 20.00000, 19.50000, 20.50000, PASS
DCS1800, 6, 17.94590, 18.00000, 17.50000, 18.50000, PASS
DCS1800, 7, 15.97505, 16.00000, 15.50000, 16.50000, PASS
DCS1800, 8, 14.02870, 14.00000, 13.50000, 14.50000, PASS
DCS1800, 9, 12.04619, 12.00000, 11.50000, 12.50000, PASS
DCS1800, 10, 9.95427, 10.00000, 9.00000, 11.00000, PASS
DCS1800, 11, 8.02589, 8.00000, 7.00000, 9.00000, PASS
DCS1800, 12, 6.09260, 6.20000, 5.00000, 7.00000, PASS
DCS1800, 13, 4.23625, 4.10000, 3.00000, 5.00000, PASS
DCS1800, 14, 2.51750, 2.50000, 1.50000, 3.50000, PASS
DCS1800, 15, 0.21919, 0.30000, -0.50000, 1.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
PCS1900, 0, 29.54529, 29.50000, 29.00000, 30.00000, PASS
PCS1900, 1, 27.42551, 27.40000, 26.70000, 28.00000, PASS
PCS1900, 2, 25.81668, 25.80000, 25.00000, 26.50000, PASS
PCS1900, 3, 24.03619, 24.00000, 23.50000, 24.50000, PASS
PCS1900, 4, 22.01248, 22.00000, 21.50000, 22.50000, PASS
PCS1900, 5, 19.97937, 20.00000, 19.50000, 20.50000, PASS
PCS1900, 6, 17.98721, 18.00000, 17.50000, 18.50000, PASS
PCS1900, 7, 16.00906, 16.00000, 15.50000, 16.50000, PASS
PCS1900, 8, 14.03665, 14.00000, 13.50000, 14.50000, PASS
PCS1900, 9, 12.01053, 12.00000, 11.50000, 12.50000, PASS
PCS1900, 10, 10.04367, 10.00000, 9.00000, 11.00000, PASS
PCS1900, 11, 7.78131, 7.90000, 7.00000, 9.00000, PASS
PCS1900, 12, 5.95938, 5.90000, 5.00000, 7.00000, PASS
PCS1900, 13, 3.89966, 3.90000, 2.90000, 5.50000, PASS
PCS1900, 14, 2.28369, 2.40000, 1.50000, 3.50000, PASS
PCS1900, 15, 0.14093, 0.20000, -0.50000, 1.00000, PASS
[GSM FHC UTS]
[FHC TX Subband Calibration]
Band: (GSM850)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (GSM900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (DCS1800)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (PCS1900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
    Total: 4403 ms
[GSM Path Test]
 Start Time:09/17/18 10:29:07.255 
    Total: 57 ms
