[Report Generation Time (2018/09/20 12:55:13.764 )]
[GSM FHC]
 Start Time:09/20/18 12:55:05.508 
    Total: 3306 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        11,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
62790
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      3990,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.752809,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 2.500, 8.500, -8.500, PASS
150, 2.500, 8.500, -8.500, PASS
160, 2.375, 8.500, -8.500, PASS
170, 2.250, 8.500, -8.500, PASS
180, 2.250, 8.500, -8.500, PASS
190, 2.125, 8.500, -8.500, PASS
200, 2.125, 8.500, -8.500, PASS
210, 2.000, 8.500, -8.500, PASS
220, 2.000, 8.500, -8.500, PASS
230, 2.000, 8.500, -8.500, PASS
240, 2.125, 8.500, -8.500, PASS
251, 2.125, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 2.375, 8.500, -8.500, PASS
30, 2.500, 8.500, -8.500, PASS
45, 2.625, 8.500, -8.500, PASS
55, 2.625, 8.500, -8.500, PASS
65, 2.625, 8.500, -8.500, PASS
75, 2.500, 8.500, -8.500, PASS
90, 2.500, 8.500, -8.500, PASS
105, 2.375, 8.500, -8.500, PASS
975, 2.125, 8.500, -8.500, PASS
1000, 2.125, 8.500, -8.500, PASS
1010, 2.250, 8.500, -8.500, PASS
1023, 2.250, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, 0.250, 8.500, -9.500, PASS
570, 0.500, 8.500, -9.500, PASS
600, 0.625, 8.500, -9.500, PASS
630, 0.625, 8.500, -9.500, PASS
670, 0.500, 8.500, -9.500, PASS
700, 0.375, 8.500, -9.500, PASS
730, 0.375, 8.500, -9.500, PASS
760, 0.375, 8.500, -9.500, PASS
790, 0.500, 8.500, -9.500, PASS
820, 0.500, 8.500, -9.500, PASS
850, 0.375, 8.500, -9.500, PASS
885, 0.250, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, -0.250, 8.500, -9.500, PASS
550, -0.125, 8.500, -9.500, PASS
570, -0.125, 8.500, -9.500, PASS
600, 0.000, 8.500, -9.500, PASS
630, 0.000, 8.500, -9.500, PASS
660, 0.000, 8.500, -9.500, PASS
690, 0.000, 8.500, -9.500, PASS
720, 0.125, 8.500, -9.500, PASS
750, 0.250, 8.500, -9.500, PASS
770, 0.375, 8.500, -9.500, PASS
790, 0.375, 8.500, -9.500, PASS
810, 0.500, 8.500, -9.500, PASS
 Start Time:09/20/18 12:55:08.994 
[GSM APC Calibration]
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
1, 190, 5, 503, 32.50000, 1.00000
1, 190, 6, 396, 30.50000, 1.00000
1, 190, 7, 349, 29.10000, 1.00000
1, 190, 8, 302, 27.10000, 1.00000
1, 190, 9, 267, 25.10000, 1.00000
1, 190, 10, 239, 23.10000, 1.00000
1, 190, 11, 219, 21.10000, 1.00000
1, 190, 12, 202, 19.10000, 1.00000
1, 190, 13, 189, 17.10000, 1.00000
1, 190, 14, 178, 15.10000, 1.00000
1, 190, 15, 168, 13.10000, 1.00000
1, 190, 16, 159, 11.00000, 1.00000
1, 190, 17, 152, 9.00000, 1.00000
1, 190, 18, 145, 7.00000, 1.00000
1, 190, 19, 140, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
2, 65, 5, 517, 32.50000, 1.00000
2, 65, 6, 409, 30.50000, 1.00000
2, 65, 7, 361, 29.10000, 1.00000
2, 65, 8, 313, 27.10000, 1.00000
2, 65, 9, 277, 25.10000, 1.00000
2, 65, 10, 250, 23.10000, 1.00000
2, 65, 11, 228, 21.10000, 1.00000
2, 65, 12, 211, 19.10000, 1.00000
2, 65, 13, 198, 17.10000, 1.00000
2, 65, 14, 186, 15.10000, 1.00000
2, 65, 15, 175, 13.10000, 1.00000
2, 65, 16, 166, 11.00000, 1.00000
2, 65, 17, 158, 9.00000, 1.00000
2, 65, 18, 151, 7.00000, 1.00000
2, 65, 19, 145, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
3, 700, 0, 580, 29.50000, 1.00000
3, 700, 1, 449, 27.50000, 1.00000
3, 700, 2, 392, 26.00000, 1.00000
3, 700, 3, 338, 24.00000, 1.00000
3, 700, 4, 298, 22.00000, 1.00000
3, 700, 5, 267, 20.00000, 1.00000
3, 700, 6, 241, 18.00000, 1.00000
3, 700, 7, 222, 16.00000, 1.00000
3, 700, 8, 207, 14.00000, 1.00000
3, 700, 9, 194, 12.00000, 1.00000
3, 700, 10, 183, 10.00000, 1.00000
3, 700, 11, 173, 8.00000, 1.00000
3, 700, 12, 166, 6.20000, 1.00000
3, 700, 13, 158, 4.10000, 1.00000
3, 700, 14, 153, 2.50000, 1.00000
3, 700, 15, 147, 0.30000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
4, 660, 0, 549, 29.50000, 1.00000
4, 660, 1, 435, 27.40000, 1.00000
4, 660, 2, 381, 25.80000, 1.00000
4, 660, 3, 337, 24.00000, 1.00000
4, 660, 4, 299, 22.00000, 1.00000
4, 660, 5, 269, 20.00000, 1.00000
4, 660, 6, 245, 18.00000, 1.00000
4, 660, 7, 226, 16.00000, 1.00000
4, 660, 8, 211, 14.00000, 1.00000
4, 660, 9, 198, 12.00000, 1.00000
4, 660, 10, 186, 10.00000, 1.00000
4, 660, 11, 176, 7.90000, 1.00000
4, 660, 12, 168, 5.90000, 1.00000
4, 660, 13, 161, 3.90000, 1.00000
4, 660, 14, 156, 2.40000, 1.00000
4, 660, 15, 149, 0.20000, 1.00000
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM850, 5, 32.54645, 32.50000, 32.00000, 33.00000, PASS
GSM850, 6, 30.54545, 30.50000, 30.00000, 31.00000, PASS
GSM850, 7, 29.14887, 29.10000, 28.50000, 29.50000, PASS
GSM850, 8, 27.15040, 27.10000, 26.50000, 27.80000, PASS
GSM850, 9, 25.13312, 25.10000, 24.50000, 25.80000, PASS
GSM850, 10, 23.09891, 23.10000, 22.50000, 23.80000, PASS
GSM850, 11, 21.16706, 21.10000, 20.50000, 21.80000, PASS
GSM850, 12, 19.09772, 19.10000, 18.50000, 19.80000, PASS
GSM850, 13, 17.13990, 17.10000, 16.50000, 17.80000, PASS
GSM850, 14, 15.19407, 15.10000, 14.50000, 15.80000, PASS
GSM850, 15, 13.12589, 13.10000, 12.50000, 13.80000, PASS
GSM850, 16, 10.97492, 11.00000, 10.00000, 12.00000, PASS
GSM850, 17, 9.08561, 9.00000, 8.00000, 10.00000, PASS
GSM850, 18, 6.95124, 7.00000, 6.00000, 8.00000, PASS
GSM850, 19, 5.23563, 5.10000, 4.00000, 6.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM900, 5, 32.52897, 32.50000, 32.00000, 33.00000, PASS
GSM900, 6, 30.57532, 30.50000, 30.00000, 31.00000, PASS
GSM900, 7, 29.14088, 29.10000, 28.50000, 29.50000, PASS
GSM900, 8, 27.13947, 27.10000, 26.50000, 27.80000, PASS
GSM900, 9, 25.11176, 25.10000, 24.50000, 25.80000, PASS
GSM900, 10, 23.20588, 23.10000, 22.50000, 23.80000, PASS
GSM900, 11, 21.12104, 21.10000, 20.50000, 21.80000, PASS
GSM900, 12, 19.08668, 19.10000, 18.50000, 19.80000, PASS
GSM900, 13, 17.22211, 17.10000, 16.50000, 17.80000, PASS
GSM900, 14, 15.21274, 15.10000, 14.50000, 15.80000, PASS
GSM900, 15, 13.09937, 13.10000, 12.50000, 13.80000, PASS
GSM900, 16, 11.12458, 11.00000, 10.00000, 12.00000, PASS
GSM900, 17, 9.10929, 9.00000, 8.00000, 10.00000, PASS
GSM900, 18, 7.13868, 7.00000, 6.00000, 8.00000, PASS
GSM900, 19, 5.24741, 5.10000, 4.00000, 6.30000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
DCS1800, 0, 29.52592, 29.50000, 29.00000, 30.00000, PASS
DCS1800, 1, 27.51423, 27.50000, 27.00000, 28.00000, PASS
DCS1800, 2, 26.00474, 26.00000, 25.00000, 26.50000, PASS
DCS1800, 3, 24.01054, 24.00000, 23.50000, 24.50000, PASS
DCS1800, 4, 22.02989, 22.00000, 21.50000, 22.50000, PASS
DCS1800, 5, 20.03129, 20.00000, 19.50000, 20.50000, PASS
DCS1800, 6, 17.94624, 18.00000, 17.50000, 18.50000, PASS
DCS1800, 7, 15.96049, 16.00000, 15.50000, 16.50000, PASS
DCS1800, 8, 14.04146, 14.00000, 13.50000, 14.50000, PASS
DCS1800, 9, 12.04203, 12.00000, 11.50000, 12.50000, PASS
DCS1800, 10, 10.05058, 10.00000, 9.00000, 11.00000, PASS
DCS1800, 11, 7.92555, 8.00000, 7.00000, 9.00000, PASS
DCS1800, 12, 6.21653, 6.20000, 5.00000, 7.00000, PASS
DCS1800, 13, 4.01811, 4.10000, 3.00000, 5.00000, PASS
DCS1800, 14, 2.48195, 2.50000, 1.50000, 3.50000, PASS
DCS1800, 15, 0.45088, 0.30000, -0.50000, 1.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
PCS1900, 0, 29.54111, 29.50000, 29.00000, 30.00000, PASS
PCS1900, 1, 27.44000, 27.40000, 26.70000, 28.00000, PASS
PCS1900, 2, 25.81339, 25.80000, 25.00000, 26.50000, PASS
PCS1900, 3, 24.03680, 24.00000, 23.50000, 24.50000, PASS
PCS1900, 4, 22.02948, 22.00000, 21.50000, 22.50000, PASS
PCS1900, 5, 19.97543, 20.00000, 19.50000, 20.50000, PASS
PCS1900, 6, 17.98108, 18.00000, 17.50000, 18.50000, PASS
PCS1900, 7, 15.94989, 16.00000, 15.50000, 16.50000, PASS
