[Report Generation Time (2018/09/17 15:47:14.234 )]
[GSM FHC]
 Start Time:09/17/18 15:47:05.520 
    Total: 4099 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        14,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
58604
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      4033,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.626374,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 3.500, 8.500, -8.500, PASS
150, 3.375, 8.500, -8.500, PASS
160, 3.375, 8.500, -8.500, PASS
170, 3.125, 8.500, -8.500, PASS
180, 3.125, 8.500, -8.500, PASS
190, 3.125, 8.500, -8.500, PASS
200, 3.000, 8.500, -8.500, PASS
210, 2.875, 8.500, -8.500, PASS
220, 2.875, 8.500, -8.500, PASS
230, 2.875, 8.500, -8.500, PASS
240, 2.875, 8.500, -8.500, PASS
251, 3.000, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 2.875, 8.500, -8.500, PASS
30, 3.000, 8.500, -8.500, PASS
45, 3.125, 8.500, -8.500, PASS
55, 3.125, 8.500, -8.500, PASS
65, 3.125, 8.500, -8.500, PASS
75, 3.125, 8.500, -8.500, PASS
90, 3.000, 8.500, -8.500, PASS
105, 2.875, 8.500, -8.500, PASS
975, 2.750, 8.500, -8.500, PASS
1000, 2.750, 8.500, -8.500, PASS
1010, 2.750, 8.500, -8.500, PASS
1023, 2.875, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, -0.125, 8.500, -9.500, PASS
570, 0.000, 8.500, -9.500, PASS
600, 0.000, 8.500, -9.500, PASS
630, 0.000, 8.500, -9.500, PASS
670, 0.000, 8.500, -9.500, PASS
700, 0.000, 8.500, -9.500, PASS
730, 0.000, 8.500, -9.500, PASS
760, 0.000, 8.500, -9.500, PASS
790, 0.000, 8.500, -9.500, PASS
820, 0.125, 8.500, -9.500, PASS
850, 0.000, 8.500, -9.500, PASS
885, -0.250, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, 0.000, 8.500, -9.500, PASS
550, 0.000, 8.500, -9.500, PASS
570, 0.125, 8.500, -9.500, PASS
600, 0.250, 8.500, -9.500, PASS
630, 0.250, 8.500, -9.500, PASS
660, 0.250, 8.500, -9.500, PASS
690, 0.375, 8.500, -9.500, PASS
720, 0.500, 8.500, -9.500, PASS
750, 0.750, 8.500, -9.500, PASS
770, 0.875, 8.500, -9.500, PASS
790, 0.875, 8.500, -9.500, PASS
810, 1.000, 8.500, -9.500, PASS
 Start Time:09/17/18 15:47:09.779 
[GSM APC Calibration]
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
1, 190, 5, 508, 32.50000, 1.00000
1, 190, 6, 397, 30.50000, 1.00000
1, 190, 7, 350, 29.10000, 1.00000
1, 190, 8, 302, 27.10000, 1.00000
1, 190, 9, 267, 25.10000, 1.00000
1, 190, 10, 239, 23.10000, 1.00000
1, 190, 11, 218, 21.10000, 1.00000
1, 190, 12, 201, 19.10000, 1.00000
1, 190, 13, 188, 17.10000, 1.00000
1, 190, 14, 177, 15.10000, 1.00000
1, 190, 15, 167, 13.10000, 1.00000
1, 190, 16, 158, 11.00000, 1.00000
1, 190, 17, 151, 9.00000, 1.00000
1, 190, 18, 144, 7.00000, 1.00000
1, 190, 19, 139, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
2, 65, 5, 509, 32.50000, 1.00000
2, 65, 6, 404, 30.50000, 1.00000
2, 65, 7, 358, 29.10000, 1.00000
2, 65, 8, 310, 27.10000, 1.00000
2, 65, 9, 275, 25.10000, 1.00000
2, 65, 10, 247, 23.10000, 1.00000
2, 65, 11, 226, 21.10000, 1.00000
2, 65, 12, 209, 19.10000, 1.00000
2, 65, 13, 195, 17.10000, 1.00000
2, 65, 14, 183, 15.10000, 1.00000
2, 65, 15, 173, 13.10000, 1.00000
2, 65, 16, 164, 11.00000, 1.00000
2, 65, 17, 156, 9.00000, 1.00000
2, 65, 18, 149, 7.00000, 1.00000
2, 65, 19, 143, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
3, 700, 0, 500, 29.50000, 1.00000
3, 700, 1, 401, 27.50000, 1.00000
3, 700, 2, 355, 26.00000, 1.00000
3, 700, 3, 309, 24.00000, 1.00000
3, 700, 4, 275, 22.00000, 1.00000
3, 700, 5, 247, 20.00000, 1.00000
3, 700, 6, 227, 18.00000, 1.00000
3, 700, 7, 210, 16.00000, 1.00000
3, 700, 8, 196, 14.00000, 1.00000
3, 700, 9, 184, 12.00000, 1.00000
3, 700, 10, 175, 10.00000, 1.00000
3, 700, 11, 166, 8.00000, 1.00000
3, 700, 12, 160, 6.20000, 1.00000
3, 700, 13, 153, 4.10000, 1.00000
3, 700, 14, 148, 2.50000, 1.00000
3, 700, 15, 142, 0.30000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
4, 660, 0, 505, 29.50000, 1.00000
4, 660, 1, 405, 27.40000, 1.00000
4, 660, 2, 357, 25.80000, 1.00000
4, 660, 3, 317, 24.00000, 1.00000
4, 660, 4, 283, 22.00000, 1.00000
4, 660, 5, 255, 20.00000, 1.00000
4, 660, 6, 234, 18.00000, 1.00000
4, 660, 7, 217, 16.00000, 1.00000
4, 660, 8, 202, 14.00000, 1.00000
4, 660, 9, 190, 12.00000, 1.00000
4, 660, 10, 180, 10.00000, 1.00000
4, 660, 11, 171, 7.90000, 1.00000
4, 660, 12, 163, 5.90000, 1.00000
4, 660, 13, 156, 3.90000, 1.00000
4, 660, 14, 151, 2.40000, 1.00000
4, 660, 15, 145, 0.20000, 1.00000
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM850, 5, 32.55573, 32.50000, 32.00000, 33.00000, PASS
GSM850, 6, 30.55335, 30.50000, 30.00000, 31.00000, PASS
GSM850, 7, 29.16611, 29.10000, 28.50000, 29.50000, PASS
GSM850, 8, 27.14704, 27.10000, 26.50000, 27.80000, PASS
GSM850, 9, 25.15232, 25.10000, 24.50000, 25.80000, PASS
GSM850, 10, 23.15467, 23.10000, 22.50000, 23.80000, PASS
GSM850, 11, 21.15134, 21.10000, 20.50000, 21.80000, PASS
GSM850, 12, 19.09522, 19.10000, 18.50000, 19.80000, PASS
GSM850, 13, 17.16718, 17.10000, 16.50000, 17.80000, PASS
GSM850, 14, 15.24741, 15.10000, 14.50000, 15.80000, PASS
GSM850, 15, 13.19993, 13.10000, 12.50000, 13.80000, PASS
GSM850, 16, 11.06727, 11.00000, 10.00000, 12.00000, PASS
GSM850, 17, 9.17939, 9.00000, 8.00000, 10.00000, PASS
GSM850, 18, 7.01923, 7.00000, 6.00000, 8.00000, PASS
GSM850, 19, 5.30765, 5.10000, 4.00000, 6.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM900, 5, 32.53376, 32.50000, 32.00000, 33.00000, PASS
GSM900, 6, 30.56711, 30.50000, 30.00000, 31.00000, PASS
GSM900, 7, 29.15909, 29.10000, 28.50000, 29.50000, PASS
GSM900, 8, 27.13660, 27.10000, 26.50000, 27.80000, PASS
GSM900, 9, 25.15937, 25.10000, 24.50000, 25.80000, PASS
GSM900, 10, 23.16599, 23.10000, 22.50000, 23.80000, PASS
GSM900, 11, 21.17335, 21.10000, 20.50000, 21.80000, PASS
