[Report Generation Time (2018/09/17 12:59:28.568 )]
[GSM FHC]
 Start Time:09/17/18 12:59:21.329 
    Total: 2978 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        12,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
62790
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      3988,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.505376,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 3.875, 8.500, -8.500, PASS
150, 3.875, 8.500, -8.500, PASS
160, 3.750, 8.500, -8.500, PASS
170, 3.625, 8.500, -8.500, PASS
180, 3.625, 8.500, -8.500, PASS
190, 3.500, 8.500, -8.500, PASS
200, 3.500, 8.500, -8.500, PASS
210, 3.500, 8.500, -8.500, PASS
220, 3.500, 8.500, -8.500, PASS
230, 3.500, 8.500, -8.500, PASS
240, 3.625, 8.500, -8.500, PASS
251, 3.625, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 3.875, 8.500, -8.500, PASS
30, 4.000, 8.500, -8.500, PASS
45, 4.000, 8.500, -8.500, PASS
55, 4.000, 8.500, -8.500, PASS
65, 4.000, 8.500, -8.500, PASS
75, 4.000, 8.500, -8.500, PASS
90, 3.875, 8.500, -8.500, PASS
105, 3.750, 8.500, -8.500, PASS
975, 3.500, 8.500, -8.500, PASS
1000, 3.625, 8.500, -8.500, PASS
1010, 3.625, 8.500, -8.500, PASS
1023, 3.750, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, 1.625, 8.500, -9.500, PASS
570, 1.625, 8.500, -9.500, PASS
600, 1.750, 8.500, -9.500, PASS
630, 1.625, 8.500, -9.500, PASS
670, 1.625, 8.500, -9.500, PASS
700, 1.500, 8.500, -9.500, PASS
730, 1.500, 8.500, -9.500, PASS
760, 1.625, 8.500, -9.500, PASS
790, 1.625, 8.500, -9.500, PASS
820, 1.625, 8.500, -9.500, PASS
850, 1.500, 8.500, -9.500, PASS
885, 1.375, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, 1.250, 8.500, -9.500, PASS
550, 1.250, 8.500, -9.500, PASS
570, 1.375, 8.500, -9.500, PASS
600, 1.375, 8.500, -9.500, PASS
630, 1.375, 8.500, -9.500, PASS
660, 1.250, 8.500, -9.500, PASS
690, 1.375, 8.500, -9.500, PASS
720, 1.500, 8.500, -9.500, PASS
750, 1.625, 8.500, -9.500, PASS
770, 1.625, 8.500, -9.500, PASS
790, 1.750, 8.500, -9.500, PASS
[WCDMA AFC Calibration]
810, 1.750, 8.500, -9.500, PASS
 Start Time:09/17/18 12:59:24.373 
[GSM APC Calibration]
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
1, 190, 5, 516, 32.50000, 1.00000
1, 190, 6, 401, 30.50000, 1.00000
1, 190, 7, 355, 29.10000, 1.00000
1, 190, 8, 308, 27.10000, 1.00000
1, 190, 9, 274, 25.10000, 1.00000
1, 190, 10, 247, 23.10000, 1.00000
1, 190, 11, 226, 21.10000, 1.00000
1, 190, 12, 210, 19.10000, 1.00000
1, 190, 13, 196, 17.10000, 1.00000
1, 190, 14, 184, 15.10000, 1.00000
1, 190, 15, 175, 13.10000, 1.00000
1, 190, 16, 166, 11.00000, 1.00000
1, 190, 17, 158, 9.00000, 1.00000
1, 190, 18, 151, 7.00000, 1.00000
1, 190, 19, 146, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
2, 65, 5, 536, 32.50000, 1.00000
2, 65, 6, 419, 30.50000, 1.00000
2, 65, 7, 371, 29.10000, 1.00000
2, 65, 8, 322, 27.10000, 1.00000
2, 65, 9, 287, 25.10000, 1.00000
2, 65, 10, 259, 23.10000, 1.00000
2, 65, 11, 237, 21.10000, 1.00000
2, 65, 12, 220, 19.10000, 1.00000
2, 65, 13, 206, 17.10000, 1.00000
2, 65, 14, 193, 15.10000, 1.00000
2, 65, 15, 183, 13.10000, 1.00000
2, 65, 16, 173, 11.00000, 1.00000
2, 65, 17, 165, 9.00000, 1.00000
2, 65, 18, 158, 7.00000, 1.00000
2, 65, 19, 151, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
3, 700, 0, 593, 29.50000, 1.00000
3, 700, 1, 459, 27.50000, 1.00000
3, 700, 2, 400, 26.00000, 1.00000
3, 700, 3, 345, 24.00000, 1.00000
3, 700, 4, 304, 22.00000, 1.00000
3, 700, 5, 273, 20.00000, 1.00000
3, 700, 6, 247, 18.00000, 1.00000
3, 700, 7, 228, 16.00000, 1.00000
3, 700, 8, 212, 14.00000, 1.00000
3, 700, 9, 199, 12.00000, 1.00000
3, 700, 10, 188, 10.00000, 1.00000
3, 700, 11, 179, 8.00000, 1.00000
3, 700, 12, 171, 6.20000, 1.00000
3, 700, 13, 164, 4.10000, 1.00000
3, 700, 14, 159, 2.50000, 1.00000
3, 700, 15, 152, 0.30000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
4, 660, 0, 566, 29.50000, 1.00000
4, 660, 1, 446, 27.40000, 1.00000
4, 660, 2, 391, 25.80000, 1.00000
4, 660, 3, 344, 24.00000, 1.00000
4, 660, 4, 306, 22.00000, 1.00000
4, 660, 5, 276, 20.00000, 1.00000
4, 660, 6, 251, 18.00000, 1.00000
4, 660, 7, 232, 16.00000, 1.00000
4, 660, 8, 217, 14.00000, 1.00000
4, 660, 9, 204, 12.00000, 1.00000
4, 660, 10, 192, 10.00000, 1.00000
4, 660, 11, 182, 7.90000, 1.00000
4, 660, 12, 174, 5.90000, 1.00000
4, 660, 13, 166, 3.90000, 1.00000
4, 660, 14, 161, 2.40000, 1.00000
4, 660, 15, 155, 0.20000, 1.00000
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM850, 5, 32.55070, 32.50000, 32.00000, 33.00000, PASS
GSM850, 6, 30.53843, 30.50000, 30.00000, 31.00000, PASS
GSM850, 7, 29.16639, 29.10000, 28.50000, 29.50000, PASS
GSM850, 8, 27.14597, 27.10000, 26.50000, 27.80000, PASS
GSM850, 9, 25.15769, 25.10000, 24.50000, 25.80000, PASS
GSM850, 10, 23.19904, 23.10000, 22.50000, 23.80000, PASS
GSM850, 11, 21.16273, 21.10000, 20.50000, 21.80000, PASS
GSM850, 12, 19.22379, 19.10000, 18.50000, 19.80000, PASS
GSM850, 13, 17.15763, 17.10000, 16.50000, 17.80000, PASS
GSM850, 14, 15.05970, 15.10000, 14.50000, 15.80000, PASS
GSM850, 15, 13.22413, 13.10000, 12.50000, 13.80000, PASS
GSM850, 16, 11.12061, 11.00000, 10.00000, 12.00000, PASS
GSM850, 17, 9.01157, 9.00000, 8.00000, 10.00000, PASS
GSM850, 18, 6.89704, 7.00000, 6.00000, 8.00000, PASS
GSM850, 19, 5.22318, 5.10000, 4.00000, 6.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM900, 5, 32.53916, 32.50000, 32.00000, 33.00000, PASS
GSM900, 6, 30.54404, 30.50000, 30.00000, 31.00000, PASS
GSM900, 7, 29.13969, 29.10000, 28.50000, 29.50000, PASS
GSM900, 8, 27.11811, 27.10000, 26.50000, 27.80000, PASS
GSM900, 9, 25.16541, 25.10000, 24.50000, 25.80000, PASS
GSM900, 10, 23.12717, 23.10000, 22.50000, 23.80000, PASS
GSM900, 11, 21.15314, 21.10000, 20.50000, 21.80000, PASS
GSM900, 12, 19.16956, 19.10000, 18.50000, 19.80000, PASS
GSM900, 13, 17.21946, 17.10000, 16.50000, 17.80000, PASS
GSM900, 14, 15.08951, 15.10000, 14.50000, 15.80000, PASS
GSM900, 15, 13.22147, 13.10000, 12.50000, 13.80000, PASS
GSM900, 16, 11.07471, 11.00000, 10.00000, 12.00000, PASS
GSM900, 17, 9.10996, 9.00000, 8.00000, 10.00000, PASS
GSM900, 18, 7.17933, 7.00000, 6.00000, 8.00000, PASS
GSM900, 19, 5.01041, 5.10000, 4.00000, 6.30000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
DCS1800, 0, 29.52922, 29.50000, 29.00000, 30.00000, PASS
DCS1800, 1, 27.52858, 27.50000, 27.00000, 28.00000, PASS
DCS1800, 2, 26.02037, 26.00000, 25.00000, 26.50000, PASS
DCS1800, 3, 24.03181, 24.00000, 23.50000, 24.50000, PASS
DCS1800, 4, 22.02870, 22.00000, 21.50000, 22.50000, PASS
DCS1800, 5, 20.04188, 20.00000, 19.50000, 20.50000, PASS
DCS1800, 6, 17.98558, 18.00000, 17.50000, 18.50000, PASS
DCS1800, 7, 16.02000, 16.00000, 15.50000, 16.50000, PASS
DCS1800, 8, 13.97618, 14.00000, 13.50000, 14.50000, PASS
DCS1800, 9, 11.97194, 12.00000, 11.50000, 12.50000, PASS
DCS1800, 10, 9.96315, 10.00000, 9.00000, 11.00000, PASS
DCS1800, 11, 8.06074, 8.00000, 7.00000, 9.00000, PASS
DCS1800, 12, 6.11052, 6.20000, 5.00000, 7.00000, PASS
DCS1800, 13, 4.19194, 4.10000, 3.00000, 5.00000, PASS
DCS1800, 14, 2.65406, 2.50000, 1.50000, 3.50000, PASS
DCS1800, 15, 0.29002, 0.30000, -0.50000, 1.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
PCS1900, 0, 29.52756, 29.50000, 29.00000, 30.00000, PASS
PCS1900, 1, 27.41824, 27.40000, 26.70000, 28.00000, PASS
PCS1900, 2, 25.83542, 25.80000, 25.00000, 26.50000, PASS
PCS1900, 3, 23.99216, 24.00000, 23.50000, 24.50000, PASS
PCS1900, 4, 22.02597, 22.00000, 21.50000, 22.50000, PASS
PCS1900, 5, 20.01096, 20.00000, 19.50000, 20.50000, PASS
PCS1900, 6, 17.95825, 18.00000, 17.50000, 18.50000, PASS
PCS1900, 7, 15.93588, 16.00000, 15.50000, 16.50000, PASS
PCS1900, 8, 14.01315, 14.00000, 13.50000, 14.50000, PASS
PCS1900, 9, 12.04221, 12.00000, 11.50000, 12.50000, PASS
PCS1900, 10, 9.89868, 10.00000, 9.00000, 11.00000, PASS
PCS1900, 11, 7.82584, 7.90000, 7.00000, 9.00000, PASS
PCS1900, 12, 5.92697, 5.90000, 5.00000, 7.00000, PASS
PCS1900, 13, 3.77893, 3.90000, 2.90000, 5.50000, PASS
PCS1900, 14, 2.28284, 2.40000, 1.50000, 3.50000, PASS
PCS1900, 15, 0.32404, 0.20000, -0.50000, 1.00000, PASS
[GSM FHC UTS]
[FHC TX Subband Calibration]
Band: (GSM850)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (GSM900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (DCS1800)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (PCS1900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
    Total: 4113 ms
[GSM Path Test]
 Start Time:09/17/18 12:59:28.536 
    Total: 28 ms
