[Report Generation Time (2018/09/20 12:39:29.510 )]
[GSM FHC]
 Start Time:09/20/18 12:39:21.681 
    Total: 3084 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        12,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
58604
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      4075,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.626374,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 3.500, 8.500, -8.500, PASS
150, 3.375, 8.500, -8.500, PASS
160, 3.375, 8.500, -8.500, PASS
170, 3.125, 8.500, -8.500, PASS
180, 3.125, 8.500, -8.500, PASS
190, 3.125, 8.500, -8.500, PASS
200, 3.000, 8.500, -8.500, PASS
210, 2.875, 8.500, -8.500, PASS
220, 2.875, 8.500, -8.500, PASS
230, 2.875, 8.500, -8.500, PASS
240, 2.875, 8.500, -8.500, PASS
251, 2.875, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 2.875, 8.500, -8.500, PASS
30, 3.000, 8.500, -8.500, PASS
45, 3.125, 8.500, -8.500, PASS
55, 3.125, 8.500, -8.500, PASS
65, 3.125, 8.500, -8.500, PASS
75, 3.125, 8.500, -8.500, PASS
90, 3.125, 8.500, -8.500, PASS
105, 3.000, 8.500, -8.500, PASS
975, 2.750, 8.500, -8.500, PASS
1000, 2.750, 8.500, -8.500, PASS
1010, 2.750, 8.500, -8.500, PASS
1023, 2.875, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, -0.250, 8.500, -9.500, PASS
570, -0.250, 8.500, -9.500, PASS
600, -0.125, 8.500, -9.500, PASS
630, 0.000, 8.500, -9.500, PASS
670, -0.125, 8.500, -9.500, PASS
700, -0.125, 8.500, -9.500, PASS
730, -0.125, 8.500, -9.500, PASS
760, -0.125, 8.500, -9.500, PASS
790, 0.000, 8.500, -9.500, PASS
820, 0.000, 8.500, -9.500, PASS
850, 0.000, 8.500, -9.500, PASS
885, 0.000, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, 0.125, 8.500, -9.500, PASS
550, 0.250, 8.500, -9.500, PASS
570, 0.250, 8.500, -9.500, PASS
600, 0.375, 8.500, -9.500, PASS
630, 0.375, 8.500, -9.500, PASS
660, 0.500, 8.500, -9.500, PASS
690, 0.625, 8.500, -9.500, PASS
720, 0.750, 8.500, -9.500, PASS
750, 1.000, 8.500, -9.500, PASS
770, 1.125, 8.500, -9.500, PASS
790, 1.250, 8.500, -9.500, PASS
810, 1.250, 8.500, -9.500, PASS
 Start Time:09/20/18 12:39:24.865 
[GSM APC Calibration]
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
1, 190, 5, 512, 32.50000, 1.00000
1, 190, 6, 403, 30.50000, 1.00000
1, 190, 7, 355, 29.10000, 1.00000
1, 190, 8, 307, 27.10000, 1.00000
1, 190, 9, 272, 25.10000, 1.00000
1, 190, 10, 243, 23.10000, 1.00000
1, 190, 11, 222, 21.10000, 1.00000
1, 190, 12, 206, 19.10000, 1.00000
1, 190, 13, 192, 17.10000, 1.00000
1, 190, 14, 181, 15.10000, 1.00000
1, 190, 15, 171, 13.10000, 1.00000
1, 190, 16, 162, 11.00000, 1.00000
1, 190, 17, 155, 9.00000, 1.00000
1, 190, 18, 148, 7.00000, 1.00000
1, 190, 19, 143, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
2, 65, 5, 505, 32.50000, 1.00000
2, 65, 6, 404, 30.50000, 1.00000
2, 65, 7, 359, 29.10000, 1.00000
2, 65, 8, 312, 27.10000, 1.00000
2, 65, 9, 277, 25.10000, 1.00000
2, 65, 10, 249, 23.10000, 1.00000
2, 65, 11, 228, 21.10000, 1.00000
2, 65, 12, 212, 19.10000, 1.00000
2, 65, 13, 198, 17.10000, 1.00000
2, 65, 14, 187, 15.10000, 1.00000
2, 65, 15, 177, 13.10000, 1.00000
2, 65, 16, 167, 11.00000, 1.00000
2, 65, 17, 160, 9.00000, 1.00000
2, 65, 18, 153, 7.00000, 1.00000
2, 65, 19, 147, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
3, 700, 0, 509, 29.50000, 1.00000
3, 700, 1, 407, 27.50000, 1.00000
3, 700, 2, 360, 26.00000, 1.00000
3, 700, 3, 314, 24.00000, 1.00000
3, 700, 4, 279, 22.00000, 1.00000
3, 700, 5, 252, 20.00000, 1.00000
3, 700, 6, 231, 18.00000, 1.00000
3, 700, 7, 214, 16.00000, 1.00000
3, 700, 8, 200, 14.00000, 1.00000
3, 700, 9, 188, 12.00000, 1.00000
3, 700, 10, 179, 10.00000, 1.00000
3, 700, 11, 170, 8.00000, 1.00000
3, 700, 12, 163, 6.20000, 1.00000
3, 700, 13, 156, 4.10000, 1.00000
3, 700, 14, 152, 2.50000, 1.00000
3, 700, 15, 146, 0.30000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
4, 660, 0, 523, 29.50000, 1.00000
4, 660, 1, 416, 27.40000, 1.00000
4, 660, 2, 366, 25.80000, 1.00000
4, 660, 3, 325, 24.00000, 1.00000
4, 660, 4, 289, 22.00000, 1.00000
4, 660, 5, 262, 20.00000, 1.00000
4, 660, 6, 239, 18.00000, 1.00000
4, 660, 7, 222, 16.00000, 1.00000
4, 660, 8, 207, 14.00000, 1.00000
4, 660, 9, 195, 12.00000, 1.00000
4, 660, 10, 185, 10.00000, 1.00000
4, 660, 11, 175, 7.90000, 1.00000
4, 660, 12, 167, 5.90000, 1.00000
4, 660, 13, 160, 3.90000, 1.00000
4, 660, 14, 155, 2.40000, 1.00000
4, 660, 15, 149, 0.20000, 1.00000
[FHC TX Subband Calibration]
Band: (GSM850)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (GSM900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (DCS1800)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (PCS1900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM850, 5, 32.56061, 32.50000, 32.00000, 33.00000, PASS
GSM850, 6, 30.54609, 30.50000, 30.00000, 31.00000, PASS
GSM850, 7, 29.16315, 29.10000, 28.50000, 29.50000, PASS
GSM850, 8, 27.17194, 27.10000, 26.50000, 27.80000, PASS
GSM850, 9, 25.19825, 25.10000, 24.50000, 25.80000, PASS
GSM850, 10, 23.13871, 23.10000, 22.50000, 23.80000, PASS
GSM850, 11, 21.14698, 21.10000, 20.50000, 21.80000, PASS
GSM850, 12, 19.23203, 19.10000, 18.50000, 19.80000, PASS
GSM850, 13, 17.15568, 17.10000, 16.50000, 17.80000, PASS
GSM850, 14, 15.21760, 15.10000, 14.50000, 15.80000, PASS
GSM850, 15, 13.13895, 13.10000, 12.50000, 13.80000, PASS
GSM850, 16, 10.96912, 11.00000, 10.00000, 12.00000, PASS
GSM850, 17, 9.08423, 9.00000, 8.00000, 10.00000, PASS
GSM850, 18, 6.91657, 7.00000, 6.00000, 8.00000, PASS
GSM850, 19, 5.18571, 5.10000, 4.00000, 6.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM900, 5, 32.53147, 32.50000, 32.00000, 33.00000, PASS
GSM900, 6, 30.54780, 30.50000, 30.00000, 31.00000, PASS
GSM900, 7, 29.15671, 29.10000, 28.50000, 29.50000, PASS
GSM900, 8, 27.15839, 27.10000, 26.50000, 27.80000, PASS
GSM900, 9, 25.15940, 25.10000, 24.50000, 25.80000, PASS
GSM900, 10, 23.14255, 23.10000, 22.50000, 23.80000, PASS
GSM900, 11, 21.11432, 21.10000, 20.50000, 21.80000, PASS
GSM900, 12, 19.16859, 19.10000, 18.50000, 19.80000, PASS
GSM900, 13, 17.11805, 17.10000, 16.50000, 17.80000, PASS
GSM900, 14, 15.20771, 15.10000, 14.50000, 15.80000, PASS
GSM900, 15, 13.23115, 13.10000, 12.50000, 13.80000, PASS
GSM900, 16, 10.96223, 11.00000, 10.00000, 12.00000, PASS
GSM900, 17, 9.15183, 9.00000, 8.00000, 10.00000, PASS
GSM900, 18, 7.13218, 7.00000, 6.00000, 8.00000, PASS
GSM900, 19, 5.17646, 5.10000, 4.00000, 6.30000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
DCS1800, 0, 29.54744, 29.50000, 29.00000, 30.00000, PASS
DCS1800, 1, 27.52409, 27.50000, 27.00000, 28.00000, PASS
DCS1800, 2, 26.00490, 26.00000, 25.00000, 26.50000, PASS
DCS1800, 3, 24.00755, 24.00000, 23.50000, 24.50000, PASS
DCS1800, 4, 21.98164, 22.00000, 21.50000, 22.50000, PASS
DCS1800, 5, 20.02571, 20.00000, 19.50000, 20.50000, PASS
DCS1800, 6, 18.01753, 18.00000, 17.50000, 18.50000, PASS
DCS1800, 7, 16.01124, 16.00000, 15.50000, 16.50000, PASS
DCS1800, 8, 13.99138, 14.00000, 13.50000, 14.50000, PASS
DCS1800, 9, 11.91429, 12.00000, 11.50000, 12.50000, PASS
DCS1800, 10, 10.09907, 10.00000, 9.00000, 11.00000, PASS
DCS1800, 11, 7.99049, 8.00000, 7.00000, 9.00000, PASS
DCS1800, 12, 6.13313, 6.20000, 5.00000, 7.00000, PASS
DCS1800, 13, 4.02794, 4.10000, 3.00000, 5.00000, PASS
DCS1800, 14, 2.68379, 2.50000, 1.50000, 3.50000, PASS
DCS1800, 15, 0.47041, 0.30000, -0.50000, 1.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
PCS1900, 0, 29.55093, 29.50000, 29.00000, 30.00000, PASS
PCS1900, 1, 27.43216, 27.40000, 26.70000, 28.00000, PASS
PCS1900, 2, 25.81921, 25.80000, 25.00000, 26.50000, PASS
PCS1900, 3, 24.04605, 24.00000, 23.50000, 24.50000, PASS
PCS1900, 4, 22.00488, 22.00000, 21.50000, 22.50000, PASS
PCS1900, 5, 20.01651, 20.00000, 19.50000, 20.50000, PASS
PCS1900, 6, 17.96976, 18.00000, 17.50000, 18.50000, PASS
PCS1900, 7, 16.02740, 16.00000, 15.50000, 16.50000, PASS
PCS1900, 8, 13.96362, 14.00000, 13.50000, 14.50000, PASS
PCS1900, 9, 12.00623, 12.00000, 11.50000, 12.50000, PASS
PCS1900, 10, 10.10745, 10.00000, 9.00000, 11.00000, PASS
PCS1900, 11, 7.88684, 7.90000, 7.00000, 9.00000, PASS
PCS1900, 12, 5.86023, 5.90000, 5.00000, 7.00000, PASS
PCS1900, 13, 3.85095, 3.90000, 2.90000, 5.50000, PASS
PCS1900, 14, 2.27921, 2.40000, 1.50000, 3.50000, PASS
PCS1900, 15, 0.15820, 0.20000, -0.50000, 1.00000, PASS
[GSM FHC UTS]
    Total: 4452 ms
 Start Time:09/20/18 12:39:29.477 
    Total: 30 ms
