[Report Generation Time (2018/09/20 09:44:41.249 )]
[GSM FHC]
 Start Time:09/20/18 09:44:33.055 
    Total: 3468 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        12,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
58604
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      4027,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.251282,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 3.000, 8.500, -8.500, PASS
150, 2.875, 8.500, -8.500, PASS
160, 2.875, 8.500, -8.500, PASS
170, 2.625, 8.500, -8.500, PASS
180, 2.625, 8.500, -8.500, PASS
190, 2.500, 8.500, -8.500, PASS
200, 2.500, 8.500, -8.500, PASS
210, 2.375, 8.500, -8.500, PASS
220, 2.375, 8.500, -8.500, PASS
230, 2.375, 8.500, -8.500, PASS
240, 2.500, 8.500, -8.500, PASS
251, 2.500, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 2.625, 8.500, -8.500, PASS
30, 2.750, 8.500, -8.500, PASS
45, 2.750, 8.500, -8.500, PASS
55, 2.875, 8.500, -8.500, PASS
65, 2.875, 8.500, -8.500, PASS
75, 2.750, 8.500, -8.500, PASS
90, 2.750, 8.500, -8.500, PASS
105, 2.625, 8.500, -8.500, PASS
975, 2.375, 8.500, -8.500, PASS
1000, 2.375, 8.500, -8.500, PASS
1010, 2.375, 8.500, -8.500, PASS
1023, 2.500, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, -0.375, 8.500, -9.500, PASS
570, -0.250, 8.500, -9.500, PASS
600, -0.125, 8.500, -9.500, PASS
630, -0.125, 8.500, -9.500, PASS
670, -0.125, 8.500, -9.500, PASS
700, -0.125, 8.500, -9.500, PASS
730, -0.125, 8.500, -9.500, PASS
760, -0.125, 8.500, -9.500, PASS
790, 0.000, 8.500, -9.500, PASS
820, 0.000, 8.500, -9.500, PASS
850, 0.000, 8.500, -9.500, PASS
885, 0.000, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, 0.125, 8.500, -9.500, PASS
550, 0.250, 8.500, -9.500, PASS
570, 0.375, 8.500, -9.500, PASS
600, 0.375, 8.500, -9.500, PASS
630, 0.500, 8.500, -9.500, PASS
660, 0.500, 8.500, -9.500, PASS
690, 0.625, 8.500, -9.500, PASS
720, 0.875, 8.500, -9.500, PASS
750, 1.000, 8.500, -9.500, PASS
770, 1.250, 8.500, -9.500, PASS
790, 1.250, 8.500, -9.500, PASS
810, 1.375, 8.500, -9.500, PASS
 Start Time:09/20/18 09:44:36.577 
[GSM APC Calibration]
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
1, 190, 5, 507, 32.50000, 1.00000
1, 190, 6, 400, 30.50000, 1.00000
1, 190, 7, 352, 29.10000, 1.00000
1, 190, 8, 304, 27.10000, 1.00000
1, 190, 9, 269, 25.10000, 1.00000
1, 190, 10, 241, 23.10000, 1.00000
1, 190, 11, 220, 21.10000, 1.00000
1, 190, 12, 204, 19.10000, 1.00000
1, 190, 13, 190, 17.10000, 1.00000
1, 190, 14, 179, 15.10000, 1.00000
1, 190, 15, 170, 13.10000, 1.00000
1, 190, 16, 161, 11.00000, 1.00000
1, 190, 17, 153, 9.00000, 1.00000
1, 190, 18, 147, 7.00000, 1.00000
1, 190, 19, 142, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
2, 65, 5, 505, 32.50000, 1.00000
2, 65, 6, 402, 30.50000, 1.00000
2, 65, 7, 357, 29.10000, 1.00000
2, 65, 8, 310, 27.10000, 1.00000
2, 65, 9, 275, 25.10000, 1.00000
2, 65, 10, 248, 23.10000, 1.00000
2, 65, 11, 227, 21.10000, 1.00000
2, 65, 12, 210, 19.10000, 1.00000
2, 65, 13, 197, 17.10000, 1.00000
2, 65, 14, 185, 15.10000, 1.00000
2, 65, 15, 175, 13.10000, 1.00000
2, 65, 16, 166, 11.00000, 1.00000
2, 65, 17, 159, 9.00000, 1.00000
2, 65, 18, 152, 7.00000, 1.00000
2, 65, 19, 146, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
3, 700, 0, 509, 29.50000, 1.00000
3, 700, 1, 404, 27.50000, 1.00000
3, 700, 2, 357, 26.00000, 1.00000
3, 700, 3, 312, 24.00000, 1.00000
3, 700, 4, 277, 22.00000, 1.00000
3, 700, 5, 250, 20.00000, 1.00000
3, 700, 6, 229, 18.00000, 1.00000
3, 700, 7, 212, 16.00000, 1.00000
3, 700, 8, 198, 14.00000, 1.00000
3, 700, 9, 187, 12.00000, 1.00000
3, 700, 10, 177, 10.00000, 1.00000
3, 700, 11, 169, 8.00000, 1.00000
3, 700, 12, 162, 6.20000, 1.00000
3, 700, 13, 155, 4.10000, 1.00000
3, 700, 14, 150, 2.50000, 1.00000
3, 700, 15, 144, 0.30000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
4, 660, 0, 546, 29.50000, 1.00000
4, 660, 1, 427, 27.40000, 1.00000
4, 660, 2, 374, 25.80000, 1.00000
4, 660, 3, 330, 24.00000, 1.00000
4, 660, 4, 294, 22.00000, 1.00000
4, 660, 5, 265, 20.00000, 1.00000
4, 660, 6, 242, 18.00000, 1.00000
4, 660, 7, 223, 16.00000, 1.00000
4, 660, 8, 208, 14.00000, 1.00000
4, 660, 9, 196, 12.00000, 1.00000
4, 660, 10, 185, 10.00000, 1.00000
4, 660, 11, 175, 7.90000, 1.00000
4, 660, 12, 167, 5.90000, 1.00000
4, 660, 13, 160, 3.90000, 1.00000
4, 660, 14, 155, 2.40000, 1.00000
4, 660, 15, 149, 0.20000, 1.00000
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM850, 5, 32.55067, 32.50000, 32.00000, 33.00000, PASS
GSM850, 6, 30.55244, 30.50000, 30.00000, 31.00000, PASS
GSM850, 7, 29.15198, 29.10000, 28.50000, 29.50000, PASS
GSM850, 8, 27.13608, 27.10000, 26.50000, 27.80000, PASS
GSM850, 9, 25.13022, 25.10000, 24.50000, 25.80000, PASS
GSM850, 10, 23.11835, 23.10000, 22.50000, 23.80000, PASS
GSM850, 11, 21.11600, 21.10000, 20.50000, 21.80000, PASS
GSM850, 12, 19.17560, 19.10000, 18.50000, 19.80000, PASS
GSM850, 13, 17.09556, 17.10000, 16.50000, 17.80000, PASS
GSM850, 14, 15.13697, 15.10000, 14.50000, 15.80000, PASS
GSM850, 15, 13.26188, 13.10000, 12.50000, 13.80000, PASS
GSM850, 16, 11.08811, 11.00000, 10.00000, 12.00000, PASS
GSM850, 17, 8.90482, 9.00000, 8.00000, 10.00000, PASS
GSM850, 18, 7.02143, 7.00000, 6.00000, 8.00000, PASS
GSM850, 19, 5.28184, 5.10000, 4.00000, 6.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM900, 5, 32.52628, 32.50000, 32.00000, 33.00000, PASS
GSM900, 6, 30.52146, 30.50000, 30.00000, 31.00000, PASS
GSM900, 7, 29.13862, 29.10000, 28.50000, 29.50000, PASS
GSM900, 8, 27.13404, 27.10000, 26.50000, 27.80000, PASS
GSM900, 9, 25.11616, 25.10000, 24.50000, 25.80000, PASS
GSM900, 10, 23.16682, 23.10000, 22.50000, 23.80000, PASS
GSM900, 11, 21.13920, 21.10000, 20.50000, 21.80000, PASS
GSM900, 12, 19.06626, 19.10000, 18.50000, 19.80000, PASS
GSM900, 13, 17.15653, 17.10000, 16.50000, 17.80000, PASS
GSM900, 14, 15.07142, 15.10000, 14.50000, 15.80000, PASS
GSM900, 15, 13.06714, 13.10000, 12.50000, 13.80000, PASS
GSM900, 16, 11.01969, 11.00000, 10.00000, 12.00000, PASS
GSM900, 17, 9.20597, 9.00000, 8.00000, 10.00000, PASS
GSM900, 18, 7.16999, 7.00000, 6.00000, 8.00000, PASS
GSM900, 19, 5.20301, 5.10000, 4.00000, 6.30000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
DCS1800, 0, 29.54265, 29.50000, 29.00000, 30.00000, PASS
DCS1800, 1, 27.52864, 27.50000, 27.00000, 28.00000, PASS
DCS1800, 2, 25.99702, 26.00000, 25.00000, 26.50000, PASS
DCS1800, 3, 24.01481, 24.00000, 23.50000, 24.50000, PASS
DCS1800, 4, 21.97984, 22.00000, 21.50000, 22.50000, PASS
DCS1800, 5, 20.01292, 20.00000, 19.50000, 20.50000, PASS
DCS1800, 6, 17.99540, 18.00000, 17.50000, 18.50000, PASS
DCS1800, 7, 15.96241, 16.00000, 15.50000, 16.50000, PASS
DCS1800, 8, 13.92198, 14.00000, 13.50000, 14.50000, PASS
DCS1800, 9, 11.99958, 12.00000, 11.50000, 12.50000, PASS
DCS1800, 10, 9.97270, 10.00000, 9.00000, 11.00000, PASS
DCS1800, 11, 8.10222, 8.00000, 7.00000, 9.00000, PASS
DCS1800, 12, 6.23823, 6.20000, 5.00000, 7.00000, PASS
DCS1800, 13, 4.11995, 4.10000, 3.00000, 5.00000, PASS
DCS1800, 14, 2.42335, 2.50000, 1.50000, 3.50000, PASS
DCS1800, 15, 0.16743, 0.30000, -0.50000, 1.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
PCS1900, 0, 29.55762, 29.50000, 29.00000, 30.00000, PASS
PCS1900, 1, 27.44971, 27.40000, 26.70000, 28.00000, PASS
PCS1900, 2, 25.83328, 25.80000, 25.00000, 26.50000, PASS
PCS1900, 3, 24.00772, 24.00000, 23.50000, 24.50000, PASS
PCS1900, 4, 22.05359, 22.00000, 21.50000, 22.50000, PASS
PCS1900, 5, 20.00714, 20.00000, 19.50000, 20.50000, PASS
PCS1900, 6, 18.05725, 18.00000, 17.50000, 18.50000, PASS
PCS1900, 7, 15.95865, 16.00000, 15.50000, 16.50000, PASS
PCS1900, 8, 13.93921, 14.00000, 13.50000, 14.50000, PASS
PCS1900, 9, 12.02206, 12.00000, 11.50000, 12.50000, PASS
PCS1900, 10, 9.99087, 10.00000, 9.00000, 11.00000, PASS
PCS1900, 11, 7.82996, 7.90000, 7.00000, 9.00000, PASS
PCS1900, 12, 5.84094, 5.90000, 5.00000, 7.00000, PASS
PCS1900, 13, 3.84525, 3.90000, 2.90000, 5.50000, PASS
PCS1900, 14, 2.29453, 2.40000, 1.50000, 3.50000, PASS
PCS1900, 15, 0.19589, 0.20000, -0.50000, 1.00000, PASS
[GSM FHC UTS]
[FHC TX Subband Calibration]
Band: (GSM850)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (GSM900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (DCS1800)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (PCS1900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
    Total: 4529 ms
[GSM Path Test]
 Start Time:09/20/18 09:44:41.181 
    Total: 65 ms
